,team_id,in_degree,out_degree,avg_total_degree,med_in_degree,med_out_degree,clustering_coef,avg_clustering_coef,betweenness,avg_betweenness,pagerank,avg_pagerank,max_clique,max_cliques,league,top_half,team_name,league_position
29,674,[ 0.  0.  0.  2.  1.  1.  1.  1.  2.  0.  6.  2.  3. 10.  6.  5. 24.  6.],[ 0.  1.  0.  3.  1.  2.  1.  4.  2.  0. 10.  2.  5. 14.  8.  6.  5.  6.],7.777777778,2,2.5,"{0: 0, 1: 0, 2: 0, 3: 0.0905533624970798, 4: 0, 5: 0.0, 6: 0, 7: 0.04982501461066943, 8: 0.0, 9: 0, 10: 0.03805449509672344, 11: 0.08333333333333333, 12: 0.06322224800680915, 13: 0.03796098617017753, 14: 0.07660864774165951, 15: 0.039214463229166295, 16: 0.23463999894552623, 17: 0.0783620358759187}",0.043987477,"{0: 0.003676470588235294, 1: 0.04411764705882353, 2: 0.003676470588235294, 3: 0.011029411764705883, 4: 0.04411764705882353, 5: 0.08088235294117647, 6: 0.014705882352941176, 7: 0.03308823529411765, 8: 0.1323529411764706, 9: 0.003676470588235294, 10: 0.09558823529411764, 11: 0.0661764705882353, 12: 0.09191176470588236, 13: 0.15073529411764705, 14: 0.11948529411764706, 15: 0.051470588235294115, 16: 0.05514705882352941, 17: 0.17279411764705882}",0.065257353,"{0: 0.04926665127889724, 1: 0.05790562265547303, 2: 0.04926665127889724, 3: 0.06569329149496267, 4: 0.05305532569601975, 5: 0.0606166349174234, 6: 0.049568159429837916, 7: 0.06383250279709043, 8: 0.05316789838255415, 9: 0.04926665127889724, 10: 0.06460311224092474, 11: 0.05084642485527287, 12: 0.055213924630605704, 13: 0.06475349600178769, 14: 0.0572786614916614, 15: 0.051075700184541314, 16: 0.05077419203360064, 17: 0.05381509935155256}",0.053491499,3,"[[13, 17, 14]]",1,1,Valencia,4
28,675,[ 0.  0.  0.  0.  0.  5.  0.  5.  1.  8. 17.  6. 12. 25.  7.  9. 46.  7.],[ 0.  1.  1.  1.  0.  5.  1.  6.  2. 11. 20.  8. 19. 32.  9. 14.  9.  9.],16.44444444,5.5,7,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.0365374928384568, 6: 0, 7: 0.011512278306971362, 8: 0.0, 9: 0.022397749333471502, 10: 0.014435391476800058, 11: 0.040617413026030516, 12: 0.00795776698775758, 13: 0.007970850401599902, 14: 0.02435148330432724, 15: 0.00882116574276819, 16: 0.05470780325113901, 17: 0.010766119501035445}",0.013337529,"{0: 0.003676470588235294, 1: 0.04779411764705882, 2: 0.04779411764705882, 3: 0.04411764705882353, 4: 0.003676470588235294, 5: 0.1323529411764706, 6: 0.04411764705882353, 7: 0.2426470588235294, 8: 0.08639705882352941, 9: 0.12867647058823528, 10: 0.26286764705882354, 11: 0.125, 12: 0.15808823529411764, 13: 0.20220588235294118, 14: 0.10294117647058823, 15: 0.05514705882352941, 16: 0.058823529411764705, 17: 0.06985294117647059}",0.100898693,"{0: 0.052962946565495, 1: 0.05373994875981235, 2: 0.05373994875981235, 3: 0.05329852395128417, 4: 0.052962946565495, 5: 0.056574631344612075, 6: 0.05371697867349162, 7: 0.05490243206967304, 8: 0.05447101078148825, 9: 0.056818284915837416, 10: 0.05966538058147027, 11: 0.05982556623115037, 12: 0.05864126670263285, 13: 0.06022076330273573, 14: 0.05633062798132871, 15: 0.0547602973542294, 16: 0.05368422272972566, 17: 0.05368422272972566}",0.054615654,3,"[[10, 11, 13], [14, 11, 13]]",1,1,Real Madrid,3
27,676,[ 1.  2.  0.  3.  6.  0.  7.  8.  4.  3. 13.  4.  3. 20. 13.  5. 51.  5.],[ 1.  2.  0.  3.  8.  0.  8. 10.  4.  3. 19.  5.  6. 27. 15.  8. 18. 11.],16.44444444,4.5,7,"{0: 0, 1: 0.04507029907210651, 2: 0, 3: 0.04278378283081194, 4: 0.016967463121479898, 5: 0, 6: 0.0179819278613587, 7: 0.01536031043338679, 8: 0.04408453431793261, 9: 0.06671376713333686, 10: 0.011269405234768519, 11: 0.05298129489645529, 12: 0.023321081020023695, 13: 0.007016273193591679, 14: 0.016240131406342614, 15: 0.01911765661946727, 16: 0.015198264997905697, 17: 0.008619508831286838}",0.02237365,"{0: 0.11397058823529412, 1: 0.11764705882352941, 2: 0.003676470588235294, 3: 0.14644607843137253, 4: 0.24754901960784317, 5: 0.003676470588235294, 6: 0.27941176470588236, 7: 0.25735294117647056, 8: 0.2757352941176471, 9: 0.14338235294117646, 10: 0.40379901960784315, 11: 0.11397058823529412, 12: 0.11397058823529412, 13: 0.3786764705882353, 14: 0.35294117647058826, 15: 0.16544117647058823, 16: 0.11764705882352941, 17: 0.11397058823529412}",0.186070261,"{0: 0.05353832871310477, 1: 0.05377265708590568, 2: 0.053019967880326195, 3: 0.05516531054524917, 4: 0.06091918644399329, 5: 0.053019967880326195, 6: 0.056509705918327505, 7: 0.05649414152778112, 8: 0.0548532783207123, 9: 0.05459554758004375, 10: 0.0596666834063447, 11: 0.054450152157943355, 12: 0.05582222803035422, 13: 0.05863863586978398, 14: 0.056758869277735984, 15: 0.05364968813731324, 16: 0.05499650271475133, 17: 0.05412914851000315}",0.054924891,3,"[[10, 14, 11], [10, 14, 13]]",1,1,Barcelona,1
31,677,[ 0.  0.  0.  0.  0.  0.  2.  4.  3.  3.  5.  6.  0.  2.  5.  3. 25.  3.],[ 0.  0.  0.  0.  0.  0.  2.  5.  4.  3.  6.  8.  3.  2.  6.  6. 11.  5.],6.777777778,2.5,3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0, 7: 0.025090191362680665, 8: 0.015758210780696242, 9: 0.12121212121212122, 10: 0.04624218499968144, 11: 0.022526133516110006, 12: 0.0, 13: 0.13636363636363635, 14: 0.031075411899964555, 15: 0.011710335262753275, 16: 0.02677001046015632, 17: 0.019667039595101018}",0.025356404,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.07904411764705882, 7: 0.11887254901960782, 8: 0.09191176470588236, 9: 0.07720588235294118, 10: 0.19791666666666666, 11: 0.1372549019607843, 12: 0.04411764705882353, 13: 0.12867647058823528, 14: 0.09068627450980393, 15: 0.12867647058823528, 16: 0.04411764705882353, 17: 0.04779411764705882}",0.06712963,"{0: 0.052716145419784456, 1: 0.052716145419784456, 2: 0.052716145419784456, 3: 0.052716145419784456, 4: 0.052716145419784456, 5: 0.052716145419784456, 6: 0.05543302127005305, 7: 0.05926800412739073, 8: 0.056917628884142014, 9: 0.05748245089256558, 10: 0.05896133017133773, 11: 0.06174722176280434, 12: 0.05458460967357894, 13: 0.055946688961588206, 14: 0.058438521743858406, 15: 0.055876979768172776, 16: 0.0546703766499267, 17: 0.05437629357587471}",0.055051699,2,"[[7, 10], [7, 6], [8, 11], [9, 10], [14, 17]]",1,0,Deportivo La Coru\u00f1a,18
34,678,[ 0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  4.  1.  0.  4.  4.  1. 11.  6.],[0. 1. 0. 0. 2. 0. 0. 1. 0. 1. 5. 1. 2. 7. 5. 1. 2. 5.],3.666666667,0.5,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.02847322101863073, 11: 0, 12: 0.0, 13: 0.05286765728024465, 14: 0.10039684199579492, 15: 0, 16: 0.9564693942744157, 17: 0.031072325059538587}",0.064959969,"{0: 0.003676470588235294, 1: 0.03308823529411765, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.058823529411764705, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.025735294117647058, 8: 0.003676470588235294, 9: 0.04044117647058824, 10: 0.1213235294117647, 11: 0.0625, 12: 0.029411764705882353, 13: 0.08272058823529412, 14: 0.0625, 15: 0.011029411764705883, 16: 0.04411764705882353, 17: 0.05514705882352941}",0.036049837,"{0: 0.05083056239466607, 1: 0.06085202861606982, 2: 0.05083056239466607, 3: 0.05083056239466607, 4: 0.06112099009030783, 5: 0.05083056239466607, 6: 0.05083056239466607, 7: 0.05363901304601634, 8: 0.05083056239466607, 9: 0.052326305716712866, 10: 0.06851531361824503, 11: 0.05363901304601634, 12: 0.061804015229766564, 13: 0.06126321261283765, 14: 0.06311754231981549, 15: 0.05161150041369326, 16: 0.052392438432720435, 17: 0.05473525248980198}",0.053015726,2,"[[10, 14]]",1,0,Athletic Club,16
23,679,[ 0.  0.  0.  2.  3.  0.  2. 10.  5.  1.  5.  8.  1. 11. 12.  1. 24.  5.],[ 0.  0.  0.  2.  5.  1.  2. 10.  5.  2.  6.  9.  2. 14. 15.  2.  7.  8.],10,2.5,3.5,"{0: 0, 1: 0, 2: 0, 3: 0.08999436070677665, 4: 0.06642575178195975, 5: 0, 6: 0.21428571428571427, 7: 0.04295807027786606, 8: 0.0486386697997159, 9: 0.1799887214135533, 10: 0.04964140942538416, 11: 0.05400113148403652, 12: 0.12979432805943855, 13: 0.0328181514607061, 14: 0.029404784619710453, 15: 0.0, 16: 0.08976033177349559, 17: 0.030107620635032122}",0.058767725,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.1801470588235294, 4: 0.13602941176470587, 5: 0.05514705882352941, 6: 0.09926470588235294, 7: 0.3866421568627451, 8: 0.23161764705882354, 9: 0.09558823529411764, 10: 0.21476715686274508, 11: 0.15257352941176472, 12: 0.09558823529411764, 13: 0.24050245098039214, 14: 0.1954656862745098, 15: 0.0625, 16: 0.05514705882352941, 17: 0.09558823529411764}",0.128199891,"{0: 0.05168257526258375, 1: 0.05168257526258375, 2: 0.05168257526258375, 3: 0.05684726844963986, 4: 0.05884238362899429, 5: 0.05264421198654085, 6: 0.056677009386910546, 7: 0.06626158877272788, 8: 0.05464637823951588, 9: 0.053239020280235805, 10: 0.05531583708799028, 11: 0.057437815637851095, 12: 0.05267062262566328, 13: 0.06176065427827763, 14: 0.05995624354792445, 15: 0.05207151161516947, 16: 0.05304385249663378, 17: 0.053537876178173543}",0.054092127,3,"[[7, 8, 11], [10, 13, 14]]",1,1,Atl\u00e9tico Madrid,2
24,680,[ 0.  1.  0.  0.  0.  0.  1.  0.  0.  4.  4.  2.  3. 11.  3.  5. 20.  3.],[ 0.  1.  0.  0.  0.  1.  2.  0.  0.  5.  5.  3.  6. 11.  6.  5.  8.  4.],6.333333333,1.5,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0, 7: 0, 8: 0, 9: 0.08583004374561971, 10: 0.07316469291403849, 11: 0.16583047212698807, 12: 0.055678467809997065, 13: 0.041056743181439564, 14: 0.05722002916374648, 15: 0.08951236947851854, 16: 0.08186181307104051, 17: 0.034997806941524254}",0.038064024,"{0: 0.003676470588235294, 1: 0.08088235294117647, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.04411764705882353, 6: 0.11029411764705882, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.07169117647058823, 10: 0.11948529411764706, 11: 0.07720588235294118, 12: 0.0625, 13: 0.1409313725490196, 14: 0.051470588235294115, 15: 0.05269607843137255, 16: 0.0661764705882353, 17: 0.049019607843137254}",0.052696078,"{0: 0.05138339576805381, 1: 0.057892087150097235, 2: 0.05138339576805381, 3: 0.05138339576805381, 4: 0.05138339576805381, 5: 0.05824673261921629, 6: 0.05490078202287765, 7: 0.05138339576805381, 8: 0.05138339576805381, 9: 0.060235607843303535, 10: 0.058441876193133006, 11: 0.05665047571184213, 12: 0.05742605349264922, 13: 0.06146297630812034, 14: 0.06381034102704418, 15: 0.05398985209326139, 16: 0.055933171674859686, 17: 0.052709669255272366}",0.055416977,2,"[[9, 12], [11, 13], [11, 14], [15, 16]]",1,1,Sevilla,7
35,682,[ 1.  1.  0.  3.  2.  0.  3.  3.  2.  0.  4.  4.  1.  6.  2.  1. 26.  4.],[1. 2. 0. 5. 3. 0. 3. 6. 2. 1. 4. 5. 2. 9. 4. 3. 9. 4.],7,2,3,"{0: 0, 1: 0.05555555555555555, 2: 0, 3: 0.036596672510934444, 4: 0.07407407407407407, 5: 0, 6: 0.023331871294349504, 7: 0.008370077962573606, 8: 0.05555555555555555, 9: 0, 10: 0.03589656978773021, 11: 0.062082233910757775, 12: 0.06999561388304851, 13: 0.028753191109084607, 14: 0.06481481481481481, 15: 0.03852007079725748, 16: 0.054848864526839625, 17: 0.04187345734591956}",0.036126035,"{0: 0.09926470588235294, 1: 0.11397058823529412, 2: 0.003676470588235294, 3: 0.2610294117647059, 4: 0.17647058823529413, 5: 0.003676470588235294, 6: 0.2757352941176471, 7: 0.38786764705882354, 8: 0.10477941176470588, 9: 0.058823529411764705, 10: 0.0661764705882353, 11: 0.22794117647058823, 12: 0.09926470588235294, 13: 0.4117647058823529, 14: 0.1213235294117647, 15: 0.05514705882352941, 16: 0.058823529411764705, 17: 0.1948529411764706}",0.151143791,"{0: 0.05300335588251689, 1: 0.05545361947878836, 2: 0.05081550175283318, 3: 0.06510070539826274, 4: 0.06150657934974594, 5: 0.05081550175283318, 6: 0.0543457294616425, 7: 0.05948587907613816, 8: 0.05234468535129889, 9: 0.05214050139006933, 10: 0.05163223759775141, 11: 0.05784348468808154, 12: 0.05309188098862528, 13: 0.06773020047594722, 14: 0.058042683060626404, 15: 0.05142805363652185, 16: 0.05265315740389919, 17: 0.0525662432544179}",0.053047618,2,"[[3, 0], [3, 6], [11, 14], [12, 13], [13, 17]]",1,1,Villarreal,5
38,683,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 6. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 3. 1. 1. 0. 2.],0.888888889,0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.2989500876640166, 14: 0, 15: 0, 16: 0, 17: 0.0}",0.016608338,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.003676470588235294, 10: 0.011029411764705883, 11: 0.003676470588235294, 12: 0.003676470588235294, 13: 0.014705882352941176, 14: 0.007352941176470588, 15: 0.007352941176470588, 16: 0.022058823529411766, 17: 0.007352941176470588}",0.006331699,"{0: 0.051873244623767786, 1: 0.051873244623767786, 2: 0.051873244623767786, 3: 0.051873244623767786, 4: 0.051873244623767786, 5: 0.051873244623767786, 6: 0.051873244623767786, 7: 0.051873244623767786, 8: 0.051873244623767786, 9: 0.051873244623767786, 10: 0.07204568766244354, 11: 0.051873244623767786, 12: 0.051873244623767786, 13: 0.08069125789405296, 14: 0.056196029739572495, 15: 0.056196029739572495, 16: 0.051873244623767786, 17: 0.06051881485537721}",0.051873245,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]",1,0,M\u00e1laga,20
33,684,[ 0.  2.  0.  3.  4.  1.  2.  3.  3.  3.  4.  3.  5.  5.  3.  3. 18.  3.],[0. 2. 0. 4. 5. 1. 3. 4. 3. 4. 5. 3. 7. 9. 5. 4. 3. 3.],7.222222222,3,3.5,"{0: 0, 1: 0.2, 2: 0, 3: 0.06666666666666667, 4: 0.11, 5: 0, 6: 0.06666666666666667, 7: 0.1, 8: 0.06666666666666667, 9: 0.016666666666666666, 10: 0.05107243151757946, 11: 0.06666666666666667, 12: 0.03717246165370118, 13: 0.04501563997312524, 14: 0.0381712059283214, 15: 0.07233341454911296, 16: 0.6022032593685607, 17: 0.12114137285547598}",0.09224684,"{0: 0.003676470588235294, 1: 0.11397058823529412, 2: 0.003676470588235294, 3: 0.2254901960784313, 4: 0.1590073529411764, 5: 0.11213235294117647, 6: 0.20557598039215694, 7: 0.25245098039215685, 8: 0.20588235294117646, 9: 0.34650735294117646, 10: 0.22028186274509806, 11: 0.1629901960784314, 12: 0.28063725490196084, 13: 0.125, 14: 0.1611519607843137, 15: 0.11151960784313726, 16: 0.08455882352941177, 17: 0.07475490196078433}",0.158292484,"{0: 0.04336580343514372, 1: 0.05443684349832321, 2: 0.04336580343514372, 3: 0.06347207332246872, 4: 0.06819280533512745, 5: 0.047990476286060915, 6: 0.05806558611084903, 7: 0.06893789360942912, 8: 0.05774678534234805, 9: 0.06227280527663569, 10: 0.05884281428114016, 11: 0.05599406056338188, 12: 0.0620629019151817, 13: 0.058750623018999006, 14: 0.05463983288866046, 15: 0.04828130423409069, 16: 0.04828244811039214, 17: 0.04529913933662432}",0.056870423,2,"[[1, 4], [3, 9], [3, 4], [8, 11], [12, 9], [12, 10], [12, 15], [13, 10], [16, 17]]",1,1,Real Betis,6
