team_id,in_degree,out_degree,avg_total_degree,med_in_degree,med_out_degree,clustering_coef,avg_clustering_coef,betweenness,avg_betweenness,pagerank,avg_pagerank,max_clique,max_cliques
1609,[ 0.  1.  0.  2.  2.  0.  2.  8.  3. 12. 16.  9. 12. 18.  8.  7. 43.  5.],[ 0.  1.  0.  4.  2.  1.  3.  9.  4. 13. 19. 11. 15. 20. 10. 13. 15.  8.],16.44444444,6,8.5,"{0: 0, 1: 0, 2: 0, 3: 0.0, 4: 0.0, 5: 0, 6: 0.047619047619047616, 7: 0.022388538873744913, 8: 0.044299104585163146, 9: 0.01708403006774059, 10: 0.012750136067235131, 11: 0.01586898852513783, 12: 0.015881576471787815, 13: 0.011980824112198923, 14: 0.017790855755257753, 15: 0.01385391939189904, 16: 0.021351057090429042, 17: 0.009674472630007522}",0.013919031,"{0: 0.003676470588235294, 1: 0.25, 2: 0.003676470588235294, 3: 0.2536764705882353, 4: 0.13602941176470587, 5: 0.058823529411764705, 6: 0.11029411764705882, 7: 0.36213235294117646, 8: 0.3272058823529412, 9: 0.20404411764705882, 10: 0.44485294117647056, 11: 0.14522058823529413, 12: 0.16176470588235295, 13: 0.21691176470588236, 14: 0.20220588235294118, 15: 0.125, 16: 0.11764705882352941, 17: 0.11397058823529412}",0.179840686,"{0: 0.05280885304164279, 1: 0.054511190327360355, 2: 0.05280885304164279, 3: 0.05787590284513823, 4: 0.054930676486779476, 5: 0.05394190910927092, 6: 0.05512545850365343, 7: 0.05704676700737391, 8: 0.057782334576758534, 9: 0.056236489197185116, 10: 0.05826185475721152, 11: 0.05666830410077138, 12: 0.057151459084285657, 13: 0.056196489212860676, 14: 0.056209010120689476, 15: 0.05467757794365718, 16: 0.05402729830363347, 17: 0.0537395723400851}",0.055660974,3,"[[10, 9, 12], [10, 13, 14]]"
1631,[ 1.  0.  0.  1.  2.  0.  1.  2.  1.  0.  2.  1.  1.  3.  0.  2. 23.  2.],[1. 1. 0. 1. 4. 0. 1. 2. 2. 1. 4. 1. 5. 7. 0. 5. 4. 3.],4.666666667,1,1.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.06371390349955833, 5: 0, 6: 0, 7: 0.10499342082457276, 8: 0.0, 9: 0, 10: 0.0, 11: 0, 12: 0.0, 13: 0.0, 14: 0, 15: 0.022620146804957553, 16: 0.31628333226240823, 17: 0.0}",0.0282006,"{0: 0.07352941176470588, 1: 0.04044117647058824, 2: 0.003676470588235294, 3: 0.04044117647058824, 4: 0.09926470588235294, 5: 0.003676470588235294, 6: 0.029411764705882353, 7: 0.0625, 8: 0.04779411764705882, 9: 0.014705882352941176, 10: 0.11029411764705882, 11: 0.029411764705882353, 12: 0.022058823529411766, 13: 0.10294117647058823, 14: 0.003676470588235294, 15: 0.04411764705882353, 16: 0.05514705882352941, 17: 0.04779411764705882}",0.046160131,"{0: 0.054356041280991745, 1: 0.05792349454911708, 2: 0.048226580136511606, 3: 0.05689880010450272, 4: 0.06871727457804487, 5: 0.048226580136511606, 6: 0.04861261576587346, 7: 0.06172655045677138, 8: 0.0646734222030245, 9: 0.05790350724840332, 10: 0.06485992054756651, 11: 0.05976377520691574, 12: 0.054244565642842274, 13: 0.05632812404453442, 14: 0.048226580136511606, 15: 0.050156758283320876, 16: 0.04977072265395902, 17: 0.04938468702459717}",0.055342083,2,"[[8, 11], [10, 13]]"
1625,[ 0.  0.  0.  0.  2.  0.  1.  8.  0. 11. 14.  2. 18. 32. 14. 15. 59.  8.],[ 0.  0.  0.  0.  3.  1.  2.  9.  2. 14. 19.  5. 24. 37. 21. 20. 14. 13.],20.44444444,5,7,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.036116930677335124, 5: 0, 6: 0.048458501919033586, 7: 0.025058084521420734, 8: 0.0, 9: 0.018907307782446994, 10: 0.015705338465553966, 11: 0.030883271624136954, 12: 0.012512428404259805, 13: 0.00926533863881215, 14: 0.012584472499905892, 15: 0.014729126588943655, 16: 0.04539568273761837, 17: 0.018480698497784068}",0.016005399,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.09926470588235294, 5: 0.04779411764705882, 6: 0.09191176470588236, 7: 0.1801470588235294, 8: 0.04779411764705882, 9: 0.23529411764705882, 10: 0.3069852941176471, 11: 0.09436274509803921, 12: 0.17647058823529413, 13: 0.2138480392156863, 14: 0.13480392156862747, 15: 0.10294117647058823, 16: 0.13602941176470587, 17: 0.09191176470588236}",0.109681373,"{0: 0.05353724606383509, 1: 0.05353724606383509, 2: 0.05353724606383509, 3: 0.05353724606383509, 4: 0.05454914515144423, 5: 0.0535869473530141, 6: 0.05522928639171603, 7: 0.05830732929978168, 8: 0.053985602878499864, 9: 0.056391714835838144, 10: 0.06042153566567783, 11: 0.055986568397155795, 12: 0.057193806408001105, 13: 0.05812363437093383, 14: 0.05677045202905367, 15: 0.055992542359365134, 16: 0.05474651954403533, 17: 0.054565931060142785}",0.054987903,3,"[[9, 10, 12], [13, 16, 17], [13, 16, 15], [13, 17, 14], [13, 10, 12], [13, 10, 14], [13, 15, 12]]"
1646,[ 0.  1.  0.  1.  3.  1.  0.  1.  0.  2.  1.  3.  0.  2.  1.  3. 16.  1.],[0. 1. 0. 2. 4. 1. 0. 3. 1. 2. 1. 3. 2. 3. 3. 3. 3. 4.],4,1,2,"{0: 0, 1: 0, 2: 0, 3: 0.0, 4: 0.12041173228509625, 5: 0, 6: 0, 7: 0.0, 8: 0, 9: 0.0, 10: 0, 11: 0.07571335803467248, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.1739500876640166, 16: 0.6876052767076778, 17: 0.0}",0.058760025,"{0: 0.003676470588235294, 1: 0.08455882352941177, 2: 0.003676470588235294, 3: 0.11397058823529412, 4: 0.08823529411764706, 5: 0.04411764705882353, 6: 0.003676470588235294, 7: 0.10539215686274508, 8: 0.011029411764705883, 9: 0.07475490196078431, 10: 0.034926470588235295, 11: 0.04779411764705882, 12: 0.011029411764705883, 13: 0.05453431372549019, 14: 0.05024509803921568, 15: 0.014705882352941176, 16: 0.05514705882352941, 17: 0.03308823529411765}",0.046364379,"{0: 0.04834315293140912, 1: 0.05964567678806976, 2: 0.04834315293140912, 3: 0.06523854357223838, 4: 0.07752202570928554, 5: 0.057093556410440616, 6: 0.04834315293140912, 7: 0.06644328040977607, 8: 0.05122870876013908, 9: 0.0621538876203316, 10: 0.05122870876013908, 11: 0.049966278085069725, 12: 0.0544016562513268, 13: 0.05480934072787501, 14: 0.05231079219591282, 15: 0.0524544880271417, 16: 0.049966278085069725, 17: 0.05050731980295659}",0.05238264,2,"[[9, 13]]"
1610,[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  5.  5.  1.  3. 11.  6.  0. 19.  1.],[ 0.  0.  0.  0.  1.  1.  1.  3.  0.  6.  5.  1.  5. 13. 10.  1.  4.  2.],5.888888889,1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0, 8: 0, 9: 0.08233026305146729, 10: 0.12245536836438453, 11: 0, 12: 0.09256035959798288, 13: 0.036828004989269435, 14: 0.042107671627527384, 15: 0, 16: 0.2987643769621573, 17: 0.24749141638096417}",0.051252081,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.011029411764705883, 5: 0.014705882352941176, 6: 0.0625, 7: 0.03676470588235294, 8: 0.003676470588235294, 9: 0.10294117647058823, 10: 0.07904411764705882, 11: 0.04044117647058824, 12: 0.07720588235294118, 13: 0.10845588235294118, 14: 0.09191176470588236, 15: 0.007352941176470588, 16: 0.04779411764705882, 17: 0.05514705882352941}",0.041870915,"{0: 0.05108150064641074, 1: 0.05108150064641074, 2: 0.05108150064641074, 3: 0.05108150064641074, 4: 0.05832384932542477, 5: 0.051471338056765965, 6: 0.05280573461927865, 7: 0.06244803394163199, 8: 0.05108150064641074, 9: 0.06127114468466268, 10: 0.05713839175335635, 11: 0.05851158628411644, 12: 0.05790941343283945, 13: 0.06326359585618, 14: 0.06505665120846207, 15: 0.051471338056765965, 16: 0.05264085028783165, 17: 0.0522805692606303}",0.052723292,2,"[[9, 10], [9, 12], [13, 14]]"
1673,[ 0.  0.  0.  0.  0.  0.  0.  2.  1.  0.  2.  2.  4.  2.  1.  2. 11.  3.],[0. 0. 0. 0. 0. 0. 0. 2. 1. 2. 2. 3. 6. 1. 1. 3. 4. 5.],3.333333333,1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.375, 8: 0, 9: 0.0, 10: 0.375, 11: 0.16666666666666666, 12: 0.08140831901024695, 13: 0, 14: 0, 15: 0.05249671041228638, 16: 0.2522342323282905, 17: 0.09399802624737184}",0.07760022,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.07352941176470588, 8: 0.09558823529411764, 9: 0.04044117647058824, 10: 0.08823529411764706, 11: 0.09558823529411764, 12: 0.0625, 13: 0.025735294117647058, 14: 0.0625, 15: 0.029411764705882353, 16: 0.03676470588235294, 17: 0.05514705882352941}",0.038398693,"{0: 0.050735277942178296, 1: 0.050735277942178296, 2: 0.050735277942178296, 3: 0.050735277942178296, 4: 0.050735277942178296, 5: 0.050735277942178296, 6: 0.050735277942178296, 7: 0.059855154433882285, 8: 0.05573233748669207, 9: 0.05728040944278423, 10: 0.06366587240180112, 11: 0.06767876865250766, 12: 0.06739522048547122, 13: 0.05477988279409605, 14: 0.05351093381529049, 15: 0.05495039967918398, 16: 0.05361420966996527, 17: 0.05638986554307746}",0.054197046,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]"
1623,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  6.  0.  1. 18.  3.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 2. 3. 6. 3. 3. 5. 6.],3.333333333,0,0.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.0, 12: 0.13333333333333333, 13: 0.09027977537059478, 14: 0.0, 15: 0.05699919822255656, 16: 0.21148773166770554, 17: 0.029495957088477354}",0.028977555,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.022058823529411766, 10: 0.007352941176470588, 11: 0.01838235294117647, 12: 0.03676470588235294, 13: 0.0625, 14: 0.01838235294117647, 15: 0.04411764705882353, 16: 0.03308823529411765, 17: 0.058823529411764705}",0.018586601,"{0: 0.053560860761270375, 1: 0.053560860761270375, 2: 0.053560860761270375, 3: 0.053560860761270375, 4: 0.053560860761270375, 5: 0.053560860761270375, 6: 0.053560860761270375, 7: 0.053560860761270375, 8: 0.053560860761270375, 9: 0.05717594231268691, 10: 0.053939947334394014, 11: 0.056498820896436826, 12: 0.05876173675231321, 13: 0.0588427884823104, 14: 0.05853315005631851, 15: 0.05635336306739933, 16: 0.05545629362688856, 17: 0.062390210619818795}",0.053750404,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]"
1611,[ 0.  0.  0.  2.  2.  1.  6.  3.  0.  2.  3.  3.  5. 15.  4.  2. 33.  1.],[ 0.  0.  0.  4.  2.  1.  7.  3.  1.  4.  4.  3.  7. 18.  9.  4. 10.  5.],9.111111111,2,4,"{0: 0, 1: 0, 2: 0, 3: 0.042475935666372214, 4: 0.16666666666666666, 5: 0, 6: 0.02984668057061996, 7: 0.09259259259259259, 8: 0, 9: 0.011665935647174752, 10: 0.009259259259259259, 11: 0.08370077962573605, 12: 0.0355196006650826, 13: 0.016451915012153272, 14: 0.024103407327648502, 15: 0.046296296296296294, 16: 0.06043188394446595, 17: 0.015080097869971703}",0.035227281,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.2647058823529412, 4: 0.15502450980392157, 5: 0.15134803921568626, 6: 0.20955882352941177, 7: 0.33517156862745096, 8: 0.05514705882352941, 9: 0.3161764705882353, 10: 0.420343137254902, 11: 0.11825980392156862, 12: 0.36458333333333337, 13: 0.32598039215686275, 14: 0.15073529411764705, 15: 0.10294117647058823, 16: 0.16237745098039214, 17: 0.10294117647058823}",0.180351307,"{0: 0.05170547480773667, 1: 0.05170547480773667, 2: 0.05170547480773667, 3: 0.05842211527238477, 4: 0.058941623826415476, 5: 0.0533132817850716, 6: 0.059571991772717006, 7: 0.05758605482565763, 8: 0.05204779041572341, 9: 0.05554694108187038, 10: 0.055181642185396756, 11: 0.056612252792621574, 12: 0.05984512434311501, 13: 0.05874299262988456, 14: 0.060165898310729216, 15: 0.05317537970698551, 16: 0.05331886131878143, 17: 0.05241162530943557}",0.055364292,2,"[[12, 9], [12, 13], [12, 15], [16, 13]]"
1624,[ 0.  0.  0.  0.  1.  2.  0.  1.  2.  1.  3.  1.  5. 15.  4.  1. 29.  6.],[ 0.  0.  0.  1.  2.  3.  0.  1.  3.  2.  9.  2.  6. 17.  9.  2.  6.  8.],7.888888889,1,2,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0, 5: 0.0, 6: 0, 7: 0, 8: 0.020833333333333332, 9: 0.0, 10: 0.015278126791726661, 11: 0.0, 12: 0.07996525919064502, 13: 0.021633801620795184, 14: 0.027204035230063116, 15: 0.13465216812699274, 16: 0.15108886435379254, 17: 0.02347913161463497}",0.026340818,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.051470588235294115, 4: 0.09558823529411764, 5: 0.1323529411764706, 6: 0.003676470588235294, 7: 0.03308823529411765, 8: 0.11764705882352941, 9: 0.06433823529411764, 10: 0.11948529411764706, 11: 0.06985294117647059, 12: 0.0625, 13: 0.15073529411764705, 14: 0.07720588235294118, 15: 0.04779411764705882, 16: 0.07352941176470588, 17: 0.058823529411764705}",0.06495098,"{0: 0.0517994541120507, 1: 0.0517994541120507, 2: 0.0517994541120507, 3: 0.057104424036170554, 4: 0.057723629084671914, 5: 0.06446375416213787, 6: 0.0517994541120507, 7: 0.051968866409112774, 8: 0.05569563908183668, 9: 0.053215034285172276, 10: 0.05814296332579644, 11: 0.057990783151504605, 12: 0.054969439052418, 13: 0.0661482139135469, 14: 0.05662574983995131, 15: 0.052138278706174844, 16: 0.05346065601475572, 17: 0.053154752488547286}",0.054215048,2,"[[8, 10], [13, 10], [13, 12], [13, 14], [16, 17]]"
1644,[ 0.  0.  0.  0.  0.  0.  0.  3.  1.  3.  0.  2.  2.  7.  2.  1. 14.  2.],[0. 0. 0. 0. 0. 1. 0. 4. 1. 4. 1. 2. 2. 7. 3. 5. 5. 2.],4.111111111,1,1.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.11666666666666667, 8: 0, 9: 0.10979001753280332, 10: 0, 11: 0.0, 12: 0.12599210498948732, 13: 0.06072754569492766, 14: 0.0, 15: 0.0, 16: 0.1542883523318981, 17: 0.2}",0.042636927,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.04044117647058824, 6: 0.003676470588235294, 7: 0.0974264705882353, 8: 0.05514705882352941, 9: 0.058823529411764705, 10: 0.014705882352941176, 11: 0.08823529411764706, 12: 0.05698529411764706, 13: 0.08823529411764706, 14: 0.08272058823529412, 15: 0.03676470588235294, 16: 0.04411764705882353, 17: 0.03676470588235294}",0.040134804,"{0: 0.04974186965306687, 1: 0.04974186965306687, 2: 0.04974186965306687, 3: 0.04974186965306687, 4: 0.04974186965306687, 5: 0.053533004368053555, 6: 0.04974186965306687, 7: 0.06484627635633623, 8: 0.05904912641722617, 9: 0.06782078182039813, 10: 0.05136819248425435, 11: 0.06524772161049132, 12: 0.05885605817015449, 13: 0.0649079002879096, 14: 0.05871646295258068, 15: 0.05306588992598091, 16: 0.05306588992598091, 17: 0.05107147776223248}",0.05306589,2,"[[9, 12], [9, 7], [11, 14]]"
