team_id,in_degree,out_degree,avg_total_degree,med_in_degree,med_out_degree,clustering_coef,avg_clustering_coef,betweenness,avg_betweenness,pagerank,avg_pagerank,max_clique,max_cliques
3799,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  3.  2.  4.  5.  2. 12.  2.],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 2. 4. 4. 7. 5. 3. 3. 2.],3.444444444,0,0.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0, 11: 0.142652543788814, 12: 0.14583333333333331, 13: 0.06715503128389491, 14: 0.14533856564434616, 15: 0.25, 16: 0.5521007659038819, 17: 0.3149802624737183}",0.08989225,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.025735294117647058, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.003676470588235294, 10: 0.04411764705882353, 11: 0.029411764705882353, 12: 0.029411764705882353, 13: 0.0625, 14: 0.04779411764705882, 15: 0.022058823529411766, 16: 0.03308823529411765, 17: 0.03308823529411765}",0.02001634,"{0: 0.04861412948520043, 1: 0.04861412948520043, 2: 0.04861412948520043, 3: 0.06268922272021146, 4: 0.04861412948520043, 5: 0.04861412948520043, 6: 0.04861412948520043, 7: 0.04861412948520043, 8: 0.04861412948520043, 9: 0.04861412948520043, 10: 0.05630017055154163, 11: 0.0662827189248463, 12: 0.071363497696108, 13: 0.07000440207004541, 14: 0.06621478140399767, 15: 0.0669882016328792, 16: 0.051855077883099746, 17: 0.05077476175046664}",0.049694446,2,"[[11, 14], [12, 15]]"
3772,[ 0.  0.  0.  0.  0.  0.  0.  1.  2.  1.  8.  5.  5.  8.  2.  1. 19.  2.],[0. 0. 0. 0. 0. 0. 0. 2. 2. 2. 9. 6. 8. 9. 5. 1. 8. 2.],6,1,2,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.11357003705200873, 8: 0.1875, 9: 0.09921256574801246, 10: 0.037047663813805386, 11: 0.061547342729139844, 12: 0.026645101026430796, 13: 0.03327670323349435, 14: 0.00625, 15: 0, 16: 0.05358973911278915, 17: 0.125}",0.041313286,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.051470588235294115, 8: 0.0625, 9: 0.04779411764705882, 10: 0.12867647058823528, 11: 0.07720588235294118, 12: 0.06985294117647059, 13: 0.04779411764705882, 14: 0.07352941176470588, 15: 0.01838235294117647, 16: 0.04044117647058824, 17: 0.03676470588235294}",0.037785948,"{0: 0.05116807388284934, 1: 0.05116807388284934, 2: 0.05116807388284934, 3: 0.05116807388284934, 4: 0.05116807388284934, 5: 0.05116807388284934, 6: 0.05116807388284934, 7: 0.05337229746137116, 8: 0.0580991600507566, 9: 0.05924823298226581, 10: 0.07165423926501925, 11: 0.05989254305795009, 12: 0.07074856794219475, 13: 0.05638447342050496, 14: 0.05455769185887801, 15: 0.05151755448263814, 16: 0.053963918681159725, 17: 0.052384803617316046}",0.052878551,2,"[[9, 12], [10, 11], [10, 7]]"
3776,[ 0.  1.  0.  0.  1.  1.  3.  3.  2.  4.  4.  1.  1.  8. 10.  1. 21.  7.],[ 0.  2.  0.  0.  1.  1.  5.  4.  3.  4.  5.  1.  4. 14. 10.  1.  4.  9.],7.555555556,1.5,3.5,"{0: 0, 1: 0.0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.05714285714285714, 7: 0.023809523809523808, 8: 0.0854143107611476, 9: 0.09571052618547016, 10: 0.05556973678346157, 11: 0, 12: 0.0427071553805738, 13: 0.023541811952140206, 14: 0.04881012714604491, 15: 0, 16: 0.2621818099652332, 17: 0.026480089284585926}",0.040075997,"{0: 0.003676470588235294, 1: 0.11029411764705882, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.08823529411764706, 5: 0.10294117647058823, 6: 0.17279411764705882, 7: 0.1801470588235294, 8: 0.1323529411764706, 9: 0.07904411764705882, 10: 0.0900735294117647, 11: 0.04044117647058824, 12: 0.01838235294117647, 13: 0.09191176470588236, 14: 0.11580882352941177, 15: 0.04044117647058824, 16: 0.05514705882352941, 17: 0.08088235294117647}",0.078329248,"{0: 0.050595178465493135, 1: 0.061820865816268056, 2: 0.050595178465493135, 3: 0.050595178465493135, 4: 0.05299787823149999, 5: 0.053645054624798516, 6: 0.06847660899783418, 7: 0.06130018654402621, 8: 0.05794687251380521, 9: 0.055751242403680616, 10: 0.05494794392780486, 11: 0.051196142532573735, 12: 0.057993113870783625, 13: 0.058954670525311795, 14: 0.057090797071160715, 15: 0.05085398046660417, 16: 0.051630386469937284, 17: 0.0536087206074316}",0.054296499,2,"[[6, 7], [14, 17], [14, 13]]"
3766,[ 0.  0.  0.  2.  2.  3.  1.  3.  1.  1.  1.  3.  9.  8.  3.  3. 34.  2.],[ 0.  0.  1.  2.  2.  3.  1.  5.  2.  4.  4.  3. 11.  7.  5.  9. 10.  7.],8.444444444,2,3.5,"{0: 0, 1: 0, 2: 0, 3: 0.16666666666666666, 4: 0.16666666666666666, 5: 0.09259259259259259, 6: 0, 7: 0.03888888888888889, 8: 0.0, 9: 0.018518518518518517, 10: 0.0, 11: 0.09883264245596086, 12: 0.024811329326438154, 13: 0.06337326024666945, 14: 0.05342806485691004, 15: 0.013790383386664976, 16: 0.05667995877621333, 17: 0.01873463068407208}",0.045165756,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.058823529411764705, 3: 0.24632352941176472, 4: 0.2426470588235294, 5: 0.29411764705882354, 6: 0.3235294117647059, 7: 0.47058823529411764, 8: 0.13970588235294118, 9: 0.35294117647058826, 10: 0.11397058823529412, 11: 0.14705882352941177, 12: 0.46875, 13: 0.3069852941176471, 14: 0.14338235294117646, 15: 0.20955882352941177, 16: 0.1636029411764706, 17: 0.1636029411764706}",0.214052288,"{0: 0.05165657217218712, 1: 0.05165657217218712, 2: 0.05330710245229393, 3: 0.05631389427403283, 4: 0.05562136119863063, 5: 0.05950318848507078, 6: 0.05338497400517134, 7: 0.0623105791566874, 8: 0.053688546279595316, 9: 0.05782885043661707, 10: 0.053517594484072895, 11: 0.05250203371987919, 12: 0.06241601339583967, 13: 0.05534167408983058, 14: 0.055951097210773605, 15: 0.05586618333296662, 16: 0.05511814209867109, 17: 0.054015621035492796}",0.055229908,2,"[[12, 9], [12, 15], [13, 14], [16, 17], [17, 15]]"
3771,[ 0.  0.  0.  1.  3.  1.  2.  6.  3.  2.  3.  3.  6.  9.  3.  4. 34.  6.],[ 0.  0.  0.  2.  3.  1.  3.  6.  3.  3.  7.  4.  8. 16.  8.  7.  6.  9.],9.555555556,3,3.5,"{0: 0, 1: 0, 2: 0, 3: 0.1111111111111111, 4: 0.1111111111111111, 5: 0, 6: 0.023331871294349504, 7: 0.04235082649567137, 8: 0.06036890833138654, 9: 0.023331871294349504, 10: 0.04232684555250576, 11: 0.06481481481481481, 12: 0.04122267067851958, 13: 0.01754405602288087, 14: 0.03353730127892044, 15: 0.023062956471533017, 16: 0.13001997590130002, 17: 0.013012122050809748}",0.04095258,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.09558823529411764, 4: 0.14338235294117646, 5: 0.09558823529411764, 6: 0.20159313725490197, 7: 0.31924019607843135, 8: 0.1636029411764706, 9: 0.12316176470588236, 10: 0.2555147058823529, 11: 0.12745098039215685, 12: 0.14093137254901958, 13: 0.2855392156862745, 14: 0.09558823529411764, 15: 0.051470588235294115, 16: 0.05514705882352941, 17: 0.0625}",0.123740468,"{0: 0.05179779014496027, 1: 0.05179779014496027, 2: 0.05179779014496027, 3: 0.053178880752632995, 4: 0.05905492066680797, 5: 0.05262069967220119, 6: 0.056109154379864495, 7: 0.06165276583514673, 8: 0.05493916492694645, 9: 0.05436083409010487, 10: 0.06215159509686072, 11: 0.05602434442646465, 12: 0.05651496342102581, 13: 0.06272908602609825, 14: 0.05715424593843836, 15: 0.05266407320330212, 16: 0.05254031848068185, 17: 0.05291158264854264}",0.05465,2,"[[8, 11], [8, 7], [10, 12], [10, 13], [13, 14]]"
3777,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  4.  1.  5.  0.  0. 19.  7.],[ 0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  4.  1.  6.  3.  2.  7. 11.],4.111111111,0,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.07444152036647679, 12: 0, 13: 0.03385401294073572, 14: 0.0, 15: 0.0, 16: 0.0607338605719876, 17: 0.014820231409643399}",0.010213868,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.022058823529411766, 8: 0.003676470588235294, 9: 0.022058823529411766, 10: 0.01838235294117647, 11: 0.04044117647058824, 12: 0.04779411764705882, 13: 0.09926470588235294, 14: 0.025735294117647058, 15: 0.01838235294117647, 16: 0.10661764705882353, 17: 0.0661764705882353}",0.027573529,"{0: 0.05407183127457813, 1: 0.05407183127457813, 2: 0.05407183127457813, 3: 0.05407183127457813, 4: 0.05407183127457813, 5: 0.05407183127457813, 6: 0.05407183127457813, 7: 0.05518477516082614, 8: 0.05407183127457813, 9: 0.05471100027707142, 10: 0.05503978398296392, 11: 0.05717122556917206, 12: 0.054306168794182756, 13: 0.06215393498765507, 14: 0.05967932347233694, 15: 0.05454050631378738, 16: 0.05717942428937284, 17: 0.057459206956006335}",0.054423338,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]"
3785,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  2.  4.  1.  2. 13.  0.],[0. 0. 0. 0. 1. 0. 0. 0. 1. 2. 1. 0. 3. 7. 0. 6. 1. 1.],2.555555556,0,0.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0, 10: 0, 11: 0, 12: 0.0, 13: 0.03579804182746323, 14: 0, 15: 0.01602499522563787, 16: 0, 17: 0}",0.002879058,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.007352941176470588, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.007352941176470588, 9: 0.014705882352941176, 10: 0.014705882352941176, 11: 0.003676470588235294, 12: 0.01838235294117647, 13: 0.022058823529411766, 14: 0.007352941176470588, 15: 0.014705882352941176, 16: 0.029411764705882353, 17: 0.007352941176470588}",0.009599673,"{0: 0.048246094191935394, 1: 0.048246094191935394, 2: 0.048246094191935394, 3: 0.048246094191935394, 4: 0.06432817848803607, 5: 0.048246094191935394, 6: 0.048246094191935394, 7: 0.048246094191935394, 8: 0.049515732844191, 9: 0.07332034368538654, 10: 0.05595815071817124, 11: 0.048246094191935394, 12: 0.07522442027235748, 13: 0.09254293447058809, 14: 0.048246094191935394, 15: 0.05586392610546904, 16: 0.049515732844191, 17: 0.049515732844191}",0.048880914,2,"[[9, 12]]"
3780,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  3.  0.  2.  9.  2.  2. 13.  1.],[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  4.  1.  2. 11.  3.  7.  1.  3.],3.777777778,0,0.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.34422495703074085, 10: 0.17086406244439017, 11: 0, 12: 0.34422495703074085, 13: 0.05184277303552219, 14: 0.17789875642072953, 15: 0.02706681666019232, 16: 0, 17: 0.06057068642773799}",0.065371834,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.04411764705882353, 10: 0.04411764705882353, 11: 0.029411764705882353, 12: 0.04411764705882353, 13: 0.12316176470588236, 14: 0.04411764705882353, 15: 0.007352941176470588, 16: 0.03308823529411765, 17: 0.029411764705882353}",0.023999183,"{0: 0.05026116237727572, 1: 0.05026116237727572, 2: 0.05026116237727572, 3: 0.05026116237727572, 4: 0.05026116237727572, 5: 0.05026116237727572, 6: 0.05026116237727572, 7: 0.05026116237727572, 8: 0.05026116237727572, 9: 0.05778941826697584, 10: 0.062264194251961516, 11: 0.05223118684957014, 12: 0.05778941826697584, 13: 0.09217211175062393, 14: 0.05495610854379479, 15: 0.06690518703234402, 16: 0.051016059599205944, 17: 0.0525258540430664}",0.050638611,3,"[[13, 9, 12]]"
19830,[ 0.  0.  0.  0.  1.  0.  1.  2.  4.  3.  3.  5.  0.  2.  5.  0. 31.  7.],[ 0.  1.  0.  0.  1.  0.  2.  3.  4.  4.  3.  6.  4.  5.  6.  0. 11. 14.],7.111111111,1.5,3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.038461538461538464, 7: 0.02564102564102564, 8: 0.04222692982030897, 9: 0.04653795544804406, 10: 0.0, 11: 0.034229754379161016, 12: 0.0, 13: 0.006105388661416152, 14: 0.022181897274859287, 15: 0, 16: 0.02589407136589018, 17: 0.004752706824006841}",0.013668404,"{0: 0.003676470588235294, 1: 0.025735294117647058, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.04411764705882353, 5: 0.003676470588235294, 6: 0.05514705882352941, 7: 0.07720588235294118, 8: 0.10294117647058823, 9: 0.0625, 10: 0.07352941176470588, 11: 0.07352941176470588, 12: 0.04044117647058824, 13: 0.05514705882352941, 14: 0.09926470588235294, 15: 0.003676470588235294, 16: 0.04779411764705882, 17: 0.08455882352941177}",0.047794118,"{0: 0.05380676683537339, 1: 0.05658414000853307, 2: 0.05380676683537339, 3: 0.05380676683537339, 4: 0.05452298765771247, 5: 0.05380676683537339, 6: 0.055961615237523965, 7: 0.056485483323438924, 8: 0.05624069829480894, 9: 0.05919100683413672, 10: 0.05639054452980281, 11: 0.05642300002128477, 12: 0.05642594825954042, 13: 0.056306096848311504, 14: 0.05608860741020233, 15: 0.05380676683537339, 16: 0.054797256521269495, 17: 0.05554878087656764}",0.056025111,2,"[[7, 9], [10, 13], [14, 17], [14, 11]]"
3787,[ 0.  1.  0.  0.  0.  0.  1.  4.  1.  1. 11.  4.  2. 11.  3.  3. 12.  3.],[ 0.  1.  0.  0.  2.  0.  1.  6.  1.  3. 12.  4.  6.  6.  5.  4.  3.  3.],6.333333333,1.5,3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0, 5: 0, 6: 0, 7: 0.09656167543306833, 8: 0, 9: 0.125, 10: 0.057180257126773465, 11: 0.13583004374561972, 12: 0.06389570729183419, 13: 0.08128438210560948, 14: 0.08799605249474368, 15: 0.033070855249337484, 16: 0.10919755809203735, 17: 0.12018746419228402}",0.050566889,"{0: 0.003676470588235294, 1: 0.04963235294117647, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.04411764705882353, 5: 0.003676470588235294, 6: 0.04411764705882353, 7: 0.22058823529411764, 8: 0.12867647058823528, 9: 0.04411764705882353, 10: 0.30330882352941174, 11: 0.08455882352941177, 12: 0.08455882352941177, 13: 0.24448529411764705, 14: 0.11397058823529412, 15: 0.10110294117647059, 16: 0.14338235294117646, 17: 0.08455882352941177}",0.094771242,"{0: 0.04827861585282516, 1: 0.05125144226505069, 2: 0.04827861585282516, 3: 0.04827861585282516, 4: 0.05836877093060945, 5: 0.04827861585282516, 6: 0.04940008202441061, 7: 0.06795202079811405, 8: 0.05178458729409033, 9: 0.07259895358829963, 10: 0.07049287638168687, 11: 0.054986396000210214, 12: 0.05743744957847826, 13: 0.05960935907594181, 14: 0.060104156346766704, 15: 0.051260717615798666, 16: 0.051123532514186734, 17: 0.05051519217505529}",0.051522652,2,"[[7, 10], [13, 16], [13, 10], [13, 11]]"
