team_id,in_degree,out_degree,avg_total_degree,med_in_degree,med_out_degree,clustering_coef,avg_clustering_coef,betweenness,avg_betweenness,pagerank,avg_pagerank,max_clique,max_cliques
2444,[ 0.  0.  0.  0.  1.  0.  3.  3.  1.  8. 10. 11.  9. 18. 13.  7. 49.  8.],[ 0.  0.  0.  0.  2.  1.  4.  4.  1.  9. 12. 18. 11. 21. 22.  8. 12. 16.],15.66666667,5,6,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0, 5: 0, 6: 0.04512618076653521, 7: 0.04031776712929796, 8: 0, 9: 0.019677765110013436, 10: 0.023074892182809843, 11: 0.012869007543347792, 12: 0.038081432736143415, 13: 0.015493410885706448, 14: 0.010786502999161358, 15: 0.04607490099345479, 16: 0.0382688624861207, 17: 0.011826583426983043}",0.016755406,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.14338235294117646, 5: 0.051470588235294115, 6: 0.1801470588235294, 7: 0.21691176470588236, 8: 0.09558823529411764, 9: 0.17647058823529413, 10: 0.14522058823529413, 11: 0.2984068627450981, 12: 0.10784313725490195, 13: 0.19240196078431374, 14: 0.13725490196078433, 15: 0.10845588235294118, 16: 0.0974264705882353, 17: 0.21415441176470587}",0.12110226,"{0: 0.053519481484468896, 1: 0.053519481484468896, 2: 0.053519481484468896, 3: 0.053519481484468896, 4: 0.05656046552318256, 5: 0.05378562057834286, 6: 0.05866380352084386, 7: 0.055368284262837984, 8: 0.05386410373761813, 9: 0.05675499628902717, 10: 0.056309460769351435, 11: 0.05848627543857791, 12: 0.0568238844660426, 13: 0.057410714020096974, 14: 0.0574692465114366, 15: 0.05487388979302001, 16: 0.05447629423126185, 17: 0.05507503492048448}",0.05522166,3,"[[12, 9, 10], [12, 13, 15]]"
2446,[ 0.  0.  0.  1.  2.  3.  2.  4.  4.  1.  7.  8.  3.  7.  3.  5. 29.  4.],[ 0.  1.  0.  2.  2.  3.  4.  4.  5.  2. 10.  8.  7. 10.  5.  6.  9.  5.],9.222222222,3,4.5,"{0: 0, 1: 0, 2: 0, 3: 0.0, 4: 0.0625, 5: 0.125, 6: 0.0, 7: 0.0, 8: 0.053671256574801256, 9: 0.0625, 10: 0.03109072036711436, 11: 0.050773256767413455, 12: 0.02404786852098781, 13: 0.015076085689818452, 14: 0.04117125657480125, 15: 0.05041752399675013, 16: 0.06924169031083213, 17: 0.035857989903244125}",0.034519314,"{0: 0.003676470588235294, 1: 0.058823529411764705, 2: 0.003676470588235294, 3: 0.1323529411764706, 4: 0.16544117647058823, 5: 0.22794117647058823, 6: 0.22794117647058823, 7: 0.4411764705882353, 8: 0.35110294117647056, 9: 0.11397058823529412, 10: 0.17830882352941177, 11: 0.4375, 12: 0.19301470588235295, 13: 0.31985294117647056, 14: 0.29411764705882354, 15: 0.12867647058823528, 16: 0.22058823529411764, 17: 0.11029411764705882}",0.200469771,"{0: 0.05070048841088424, 1: 0.052158346291992695, 2: 0.05070048841088424, 3: 0.05523935094650569, 4: 0.058369859076669736, 5: 0.05713794967729641, 6: 0.056743808198314656, 7: 0.0591060198777733, 8: 0.05648130282144969, 9: 0.05369255915323086, 10: 0.05784169399661597, 11: 0.058247817052521286, 12: 0.06214957905431066, 13: 0.05614408487736845, 14: 0.056652978118654246, 15: 0.05275489329198701, 16: 0.054213235049859226, 17: 0.05166554569368165}",0.056312694,2,"[[4, 3], [4, 5], [6, 7], [8, 5], [9, 12], [10, 11], [13, 16], [13, 14], [16, 17]]"
2482,[ 0.  0.  0.  0.  0.  0.  0.  4.  2.  0.  4.  0.  3. 10.  3.  4. 22.  2.],[ 0.  0.  0.  1.  0.  0.  1.  8.  2.  1.  4.  0.  9. 12.  4.  6.  5.  1.],6,1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.032911984423619936, 8: 0.10499342082457276, 9: 0, 10: 0.09575225327165489, 11: 0, 12: 0.03873791717619116, 13: 0.04291698803329322, 14: 0.126899313707913, 15: 0.0420072078446343, 16: 0.22227314495724868, 17: 0}",0.039249568,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.029411764705882353, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.03676470588235294, 7: 0.0661764705882353, 8: 0.03676470588235294, 9: 0.029411764705882353, 10: 0.09558823529411764, 11: 0.003676470588235294, 12: 0.07352941176470588, 13: 0.15073529411764705, 14: 0.04411764705882353, 15: 0.058823529411764705, 16: 0.08088235294117647, 17: 0.04779411764705882}",0.042892157,"{0: 0.04826879300255607, 1: 0.04826879300255607, 2: 0.04826879300255607, 3: 0.049930817590963995, 4: 0.04826879300255607, 5: 0.04826879300255607, 6: 0.053219212489792056, 7: 0.08388256391496446, 8: 0.05223377405009826, 9: 0.05162792610115054, 10: 0.05691757314337016, 11: 0.04826879300255607, 12: 0.06907786010260905, 13: 0.07040367355725796, 14: 0.05996823741560328, 15: 0.057789912368901665, 16: 0.056461050298448244, 17: 0.048874640951503796}",0.05193085,2,"[[10, 13], [12, 13], [12, 15], [16, 17]]"
2457,[ 0.  0.  0.  0.  0.  0.  1.  3.  1.  3.  4.  2.  4.  6.  4.  1. 19.  2.],[ 0.  0.  0.  1.  0.  1.  1.  4.  1.  4.  4.  3.  4. 10.  5.  3.  5.  4.],5.555555556,1.5,3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.096329385828077, 8: 0, 9: 0.15, 10: 0.16666666666666666, 11: 0.07533070166316244, 12: 0.19440737824492021, 13: 0.048255093684000105, 14: 0.075874010519682, 15: 0.07533070166316244, 16: 0.23172060163429223, 17: 0.06845405252929909}",0.065687144,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.04411764705882353, 4: 0.003676470588235294, 5: 0.04044117647058824, 6: 0.08088235294117647, 7: 0.07352941176470588, 8: 0.11029411764705882, 9: 0.10661764705882353, 10: 0.10661764705882353, 11: 0.11029411764705882, 12: 0.10294117647058823, 13: 0.14338235294117646, 14: 0.17279411764705882, 15: 0.058823529411764705, 16: 0.051470588235294115, 17: 0.051470588235294115}",0.070465686,"{0: 0.05026201423256882, 1: 0.05026201423256882, 2: 0.05026201423256882, 3: 0.0582325000826414, 4: 0.05026201423256882, 5: 0.05305764211035871, 6: 0.05752290999098907, 7: 0.060528648692077275, 8: 0.05240177639778711, 9: 0.056797665580756156, 10: 0.05923867234492238, 11: 0.056593587910171106, 12: 0.061622546380498036, 13: 0.06408016179268841, 14: 0.06177053553137212, 15: 0.053157494734243436, 16: 0.05216411037483648, 17: 0.051783691146382954}",0.054875541,2,"[[10, 9], [10, 11], [12, 13], [12, 15], [14, 11]]"
2454,[ 0.  0.  0.  4.  4.  0.  3.  3.  0.  4.  4.  0.  1.  7.  3.  3. 18.  3.],[ 0.  0.  0.  5.  5.  0.  3.  3.  1.  4.  5.  0.  2. 10.  6.  2.  6.  5.],6.333333333,3,3,"{0: 0, 1: 0, 2: 0, 3: 0.06483135958070517, 4: 0.08366403499649576, 5: 0, 6: 0.0, 7: 0.12555116943860406, 8: 0, 9: 0.1111111111111111, 10: 0.07533070166316244, 11: 0, 12: 0.12018746419228402, 13: 0.036901584090222414, 14: 0.0668553055714099, 15: 0.16666666666666666, 16: 0.12191521663310957, 17: 0.059536834920914085}",0.057363969,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.07169117647058823, 4: 0.0625, 5: 0.003676470588235294, 6: 0.10110294117647059, 7: 0.10110294117647059, 8: 0.04779411764705882, 9: 0.13970588235294118, 10: 0.10294117647058823, 11: 0.003676470588235294, 12: 0.06985294117647059, 13: 0.17830882352941177, 14: 0.04779411764705882, 15: 0.04779411764705882, 16: 0.04779411764705882, 17: 0.04779411764705882}",0.060253268,"{0: 0.050759733893757236, 1: 0.050759733893757236, 2: 0.050759733893757236, 3: 0.06061005839903309, 4: 0.06163287928890243, 5: 0.050759733893757236, 6: 0.056315821050825124, 7: 0.05681481792827662, 8: 0.05311852233514417, 9: 0.057739878428035414, 10: 0.05721498851557324, 11: 0.050759733893757236, 12: 0.05382047973237282, 13: 0.07097292454451569, 14: 0.0588414216701737, 15: 0.05149263160572866, 16: 0.05295842702967152, 17: 0.0546684800029613}",0.05424448,2,"[[4, 7], [12, 13], [14, 17]]"
2449,[ 0.  0.  0.  0.  0.  1.  0.  1.  1.  0.  0.  0.  0.  2.  0.  0. 12.  1.],[0. 0. 0. 0. 0. 1. 0. 1. 2. 0. 0. 1. 0. 3. 1. 2. 3. 4.],2,0,0.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.19930005844267773, 14: 0, 15: 0.0, 16: 0.7479642283793413, 17: 0.085557883973664}",0.057379009,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.029411764705882353, 6: 0.003676470588235294, 7: 0.03676470588235294, 8: 0.04411764705882353, 9: 0.003676470588235294, 10: 0.003676470588235294, 11: 0.007352941176470588, 12: 0.003676470588235294, 13: 0.029411764705882353, 14: 0.007352941176470588, 15: 0.007352941176470588, 16: 0.03308823529411765, 17: 0.007352941176470588}",0.013071895,"{0: 0.051479502426312905, 1: 0.051479502426312905, 2: 0.051479502426312905, 3: 0.051479502426312905, 4: 0.051479502426312905, 5: 0.06406327330241116, 6: 0.051479502426312905, 7: 0.06496141103301235, 8: 0.06959731659640696, 9: 0.051479502426312905, 10: 0.051479502426312905, 11: 0.052352819612589856, 12: 0.051479502426312905, 13: 0.05893435846223335, 14: 0.052352819612589856, 15: 0.05322613679886681, 16: 0.054099453985143764, 17: 0.0670968887599297}",0.051916161,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]"
2450,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  2.  1.  1. 10.  2.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 3. 4. 1. 2. 3. 3.],1.888888889,0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0.16666666666666666, 13: 0.1388888888888889, 14: 0, 15: 0.20998684164914552, 16: 0.6207737569845266, 17: 0.08012497612818935}",0.067580063,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.003676470588235294, 10: 0.01838235294117647, 11: 0.003676470588235294, 12: 0.011029411764705883, 13: 0.029411764705882353, 14: 0.01838235294117647, 15: 0.011029411764705883, 16: 0.025735294117647058, 17: 0.022058823529411766}",0.009803922,"{0: 0.051239377314715624, 1: 0.051239377314715624, 2: 0.051239377314715624, 3: 0.051239377314715624, 4: 0.051239377314715624, 5: 0.051239377314715624, 6: 0.051239377314715624, 7: 0.051239377314715624, 8: 0.051239377314715624, 9: 0.051239377314715624, 10: 0.059244028513651376, 11: 0.051239377314715624, 12: 0.07982895533348501, 13: 0.07770967903425556, 14: 0.05686502246774392, 15: 0.05348963537592695, 16: 0.05461476440653261, 17: 0.05461476440653261}",0.051239377,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]"
2455,[ 0.  0.  0.  0.  0.  0.  3.  2.  0.  4.  1.  0.  1.  6.  3.  2. 12.  0.],[0. 0. 0. 0. 2. 0. 3. 2. 0. 6. 5. 0. 2. 5. 4. 3. 2. 0.],3.777777778,0.5,2,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0, 5: 0, 6: 0.26842706542947536, 7: 0.375, 8: 0, 9: 0.08140831901024695, 10: 0.0, 11: 0, 12: 0.0, 13: 0.16483470110068155, 14: 0.07473752191600415, 15: 0.1358070901308145, 16: 1.6111871993765163, 17: 0}",0.150633439,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.03676470588235294, 5: 0.003676470588235294, 6: 0.07904411764705882, 7: 0.051470588235294115, 8: 0.003676470588235294, 9: 0.06985294117647059, 10: 0.042279411764705885, 11: 0.003676470588235294, 12: 0.04411764705882353, 13: 0.08823529411764706, 14: 0.0625, 15: 0.04779411764705882, 16: 0.07720588235294118, 17: 0.003676470588235294}",0.034926471,"{0: 0.04645985245207012, 1: 0.04645985245207012, 2: 0.04645985245207012, 3: 0.04645985245207012, 4: 0.05837168960654191, 5: 0.04645985245207012, 6: 0.0655445813772126, 7: 0.06158042713313752, 8: 0.04645985245207012, 9: 0.10993232183837376, 10: 0.06179030758999607, 11: 0.04645985245207012, 12: 0.05487089352657428, 13: 0.06406675254611048, 14: 0.05131852812711363, 15: 0.05010385920835275, 16: 0.05074181943002587, 17: 0.04645985245207012}",0.050422839,2,"[[6, 9], [13, 16]]"
2447,[ 0.  0.  0.  0.  0.  0.  1.  1.  1.  5.  6.  5.  4.  6.  4.  6. 28.  4.],[ 0.  0.  0.  0.  0.  0.  2.  1.  1.  6.  9.  6.  6. 13.  7.  9.  5.  6.],7.888888889,2.5,3.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.12018746419228402, 7: 0, 8: 0, 9: 0.059859600148766935, 10: 0.0441836715219, 11: 0.0942437085542989, 12: 0.0370216211552216, 13: 0.02327154989912684, 14: 0.061582955738016205, 15: 0.04058168178192064, 16: 0.2409624476475164, 17: 0.02843915467625981}",0.041685214,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.07720588235294118, 7: 0.10661764705882353, 8: 0.11397058823529412, 9: 0.17647058823529413, 10: 0.22794117647058823, 11: 0.17647058823529413, 12: 0.13602941176470587, 13: 0.14154411764705882, 14: 0.10661764705882353, 15: 0.08823529411764706, 16: 0.04411764705882353, 17: 0.04595588235294118}",0.08129085,"{0: 0.05128205932340352, 1: 0.05128205932340352, 2: 0.05128205932340352, 3: 0.05128205932340352, 4: 0.05128205932340352, 5: 0.05128205932340352, 6: 0.05357818410959117, 7: 0.05712428958448023, 8: 0.05257990318728477, 9: 0.06501177575305181, 10: 0.0677849363613003, 11: 0.05840319005836203, 12: 0.05759880881415376, 13: 0.061444486395285665, 14: 0.05772450293667601, 15: 0.056209613786123186, 16: 0.05232016588088664, 17: 0.05252778719238327}",0.053079044,2,"[[9, 12], [10, 11], [10, 13], [10, 6], [12, 15], [14, 11]]"
2453,[0. 0. 0. 0. 0. 0. 2. 2. 0. 1. 4. 1. 0. 3. 1. 0. 6. 3.],[0. 0. 0. 0. 0. 0. 2. 2. 1. 2. 6. 1. 0. 4. 1. 0. 1. 3.],2.555555556,0.5,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.75, 7: 0.0, 8: 0, 9: 0.0, 10: 0.16732806999299152, 11: 0, 12: 0, 13: 0.0, 14: 0, 15: 0, 16: 0, 17: 0.3822834209973499}",0.072200638,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.04411764705882353, 7: 0.0625, 8: 0.03676470588235294, 9: 0.058823529411764705, 10: 0.08823529411764706, 11: 0.029411764705882353, 12: 0.003676470588235294, 13: 0.09191176470588236, 14: 0.04044117647058824, 15: 0.003676470588235294, 16: 0.03676470588235294, 17: 0.04044117647058824}",0.031045752,"{0: 0.04598617530640161, 1: 0.04598617530640161, 2: 0.04598617530640161, 3: 0.04598617530640161, 4: 0.04598617530640161, 5: 0.04598617530640161, 6: 0.0634017240534367, 7: 0.07358987116521969, 8: 0.053102623306652864, 9: 0.06108735772130466, 10: 0.09568626715619769, 11: 0.048385176407132, 12: 0.04598617530640161, 13: 0.08052156760697927, 14: 0.051576415761635706, 15: 0.04598617530640161, 16: 0.048385176407132, 17: 0.05637441796309648}",0.048385176,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]"
