team_id,in_degree,out_degree,avg_total_degree,med_in_degree,med_out_degree,clustering_coef,avg_clustering_coef,betweenness,avg_betweenness,pagerank,avg_pagerank,max_clique,max_cliques
3166,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 4. 0. 1. 9. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 2. 1. 4. 4. 1.],1.777777778,0,0.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1.0737082617179015, 14: 0, 15: 0.0, 16: 0.35469439670082314, 17: 0}",0.079355703,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.029411764705882353, 10: 0.011029411764705883, 11: 0.022058823529411766, 12: 0.029411764705882353, 13: 0.04779411764705882, 14: 0.011029411764705883, 15: 0.03676470588235294, 16: 0.051470588235294115, 17: 0.011029411764705883}",0.015727124,"{0: 0.050815651388443364, 1: 0.050815651388443364, 2: 0.050815651388443364, 3: 0.050815651388443364, 4: 0.050815651388443364, 5: 0.050815651388443364, 6: 0.050815651388443364, 7: 0.050815651388443364, 8: 0.050815651388443364, 9: 0.05468551203629493, 10: 0.05468551203629493, 11: 0.07117382260526407, 12: 0.06579349541270571, 13: 0.05651691645026094, 14: 0.05264705580240937, 15: 0.07433004208017721, 16: 0.060179725278192965, 17: 0.05264705580240937}",0.051731354,2,"[[13, 16]]"
3185,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  3. 11.  4.  3. 24.  0.],[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  3.  1.  9. 11.  5.  4. 10.  1.],5.111111111,0,0.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0, 10: 0.0, 11: 0, 12: 0.015018021690453813, 13: 0.03731603939253996, 14: 0.065443128609359, 15: 0.04453028319348527, 16: 0.05087493555335775, 17: 0}",0.011843467,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.01838235294117647, 10: 0.03676470588235294, 11: 0.022058823529411766, 12: 0.01838235294117647, 13: 0.09191176470588236, 14: 0.04411764705882353, 15: 0.05514705882352941, 16: 0.058823529411764705, 17: 0.01838235294117647}",0.022058824,"{0: 0.05344609331468936, 1: 0.05344609331468936, 2: 0.05344609331468936, 3: 0.05344609331468936, 4: 0.05344609331468936, 5: 0.05344609331468936, 6: 0.05344609331468936, 7: 0.05344609331468936, 8: 0.05344609331468936, 9: 0.05431293281776745, 10: 0.05456774654802509, 11: 0.059368034260268925, 12: 0.06439194264054302, 13: 0.06203505621368357, 14: 0.05807628265853693, 15: 0.05446534823571991, 16: 0.05635144265982856, 17: 0.055416374133422173}",0.053879513,2,"[[13, 16], [13, 14]]"
3157,[ 0.  0.  0.  0.  1.  0.  3.  8.  1.  3.  6.  5.  3.  7.  5.  0. 16.  4.],[ 0.  0.  0.  0.  3.  0.  3. 11.  1.  5.  7.  6.  3.  6.  7.  0.  3.  7.],6.888888889,3,3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.08333333333333333, 5: 0, 6: 0.13359084958045583, 7: 0.036982796956883626, 8: 0, 9: 0.04993268913973782, 10: 0.056994429420597896, 11: 0.07938650928983601, 12: 0.16666666666666666, 13: 0.10634338042733313, 14: 0.07350689992331909, 15: 0, 16: 0.5277370604732877, 17: 0.021122666723853878}",0.074199849,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.04411764705882353, 5: 0.003676470588235294, 6: 0.08302696078431374, 7: 0.18045343137254902, 8: 0.08088235294117647, 9: 0.19209558823529413, 10: 0.12346813725490197, 11: 0.20955882352941177, 12: 0.1875, 13: 0.1332720588235294, 14: 0.19944852941176472, 15: 0.003676470588235294, 16: 0.09191176470588236, 17: 0.08823529411764706}",0.090890523,"{0: 0.05023745030354789, 1: 0.05023745030354789, 2: 0.05023745030354789, 3: 0.05023745030354789, 4: 0.06126497662557959, 5: 0.05023745030354789, 6: 0.054496181329945735, 7: 0.07570219319188691, 8: 0.051534130453521336, 9: 0.056891275908343544, 10: 0.05849722678217238, 11: 0.06076590472130572, 12: 0.05650161499821064, 13: 0.05541234463532177, 14: 0.06070837825025207, 15: 0.05023745030354789, 16: 0.05221660263357889, 17: 0.05458446864859412}",0.054540325,2,"[[7, 8], [7, 9], [7, 6], [11, 14], [13, 16], [13, 14], [14, 17]]"
3187,[ 0.  1.  0.  1.  2.  1.  2. 10.  4. 12. 10.  8. 12.  8.  2.  9. 31.  1.],[ 0.  2.  0.  2.  2.  2.  3. 10.  4. 15. 12. 10. 17. 10.  4. 11.  6.  4.],12.66666667,3,4,"{0: 0, 1: 0.0, 2: 0, 3: 0.0, 4: 0.21999013123685918, 5: 0.125, 6: 0.10416666666666666, 7: 0.04501161444601917, 8: 0.10385309371428719, 9: 0.023606617393627707, 10: 0.033282673146013075, 11: 0.033765605540662456, 12: 0.021183419180850982, 13: 0.03045298259357144, 14: 0.07872185467228926, 15: 0.031094269550673435, 16: 0.13823143652839562, 17: 0.020833333333333332}",0.056066317,"{0: 0.003676470588235294, 1: 0.15073529411764705, 2: 0.003676470588235294, 3: 0.11029411764705882, 4: 0.10294117647058823, 5: 0.058823529411764705, 6: 0.1875, 7: 0.2977941176470588, 8: 0.19117647058823528, 9: 0.36764705882352944, 10: 0.4319852941176471, 11: 0.21507352941176472, 12: 0.2665441176470588, 13: 0.11764705882352941, 14: 0.10294117647058823, 15: 0.15073529411764705, 16: 0.058823529411764705, 17: 0.058823529411764705}",0.159824346,"{0: 0.04929577465112248, 1: 0.05761335392806322, 2: 0.04929577465112248, 3: 0.053172044764812534, 4: 0.050843047133227265, 5: 0.05824778086668527, 6: 0.06092882408833243, 7: 0.05588666395546884, 8: 0.053474746583522866, 9: 0.059839011980214504, 10: 0.06789495533597498, 11: 0.06147963151175624, 12: 0.0587677617005217, 13: 0.05433001457370374, 14: 0.05541782687263869, 15: 0.05288422244577864, 16: 0.05051798404400789, 17: 0.050110580913046085}",0.054873921,2,"[[8, 11], [10, 9], [10, 4], [10, 7], [11, 14], [11, 7], [12, 9], [12, 15]]"
3161,[ 0.  1.  0.  0.  1.  4.  1.  1.  4.  0.  1.  4.  0.  2.  1.  0. 23.  9.],[ 0.  1.  0.  1.  2.  4.  1.  3.  4.  0.  1.  7.  1.  3.  3.  7.  4. 10.],5.777777778,1,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0, 5: 0.08380576428070825, 6: 0, 7: 0.0, 8: 0.09571052618547016, 9: 0, 10: 0, 11: 0.03512499561538172, 12: 0, 13: 0.043264776019812844, 14: 0.03433927548350972, 15: 0.0, 16: 0.27517141579500853, 17: 0.027805257113648715}",0.033067889,"{0: 0.003676470588235294, 1: 0.04411764705882353, 2: 0.003676470588235294, 3: 0.04779411764705882, 4: 0.08823529411764706, 5: 0.08088235294117647, 6: 0.022058823529411766, 7: 0.10294117647058823, 8: 0.09926470588235294, 9: 0.003676470588235294, 10: 0.051470588235294115, 11: 0.07352941176470588, 12: 0.007352941176470588, 13: 0.0625, 14: 0.029411764705882353, 15: 0.01838235294117647, 16: 0.05514705882352941, 17: 0.0625}",0.047589869,"{0: 0.051974729713574565, 1: 0.05343214777771388, 2: 0.051974729713574565, 3: 0.05792235861749054, 4: 0.06255699854267247, 5: 0.06131653640182518, 6: 0.05219319359577552, 7: 0.05910807959298603, 8: 0.05666447457619552, 9: 0.051974729713574565, 10: 0.05472153454477708, 11: 0.059420314210536944, 12: 0.05219319359577552, 13: 0.057780813615390524, 14: 0.052630121360177425, 15: 0.0560323178379828, 16: 0.05284858524237838, 17: 0.055255141347598416}",0.054988338,2,"[[1, 5]]"
3159,[ 0.  0.  0.  0.  2.  0.  5. 10.  4.  2.  6.  2.  6. 21.  5. 10. 38.  4.],[ 0.  0.  0.  1.  2.  0.  6. 12.  6.  3. 10.  3. 12. 24.  5. 15. 10.  6.],12.77777778,4,5.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.15475098385456088, 5: 0, 6: 0.0427779570978985, 7: 0.02522581751933869, 8: 0.03941496624609562, 9: 0.05215529651980922, 10: 0.019689167113083484, 11: 0.046621843071621406, 12: 0.024346411725146934, 13: 0.013195671857155538, 14: 0.03318966391220174, 15: 0.01931038788204434, 16: 0.0674551190120847, 17: 0.02134747511126856}",0.031082264,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.051470588235294115, 4: 0.09558823529411764, 5: 0.003676470588235294, 6: 0.25183823529411764, 7: 0.3538602941176471, 8: 0.11029411764705882, 9: 0.10294117647058823, 10: 0.20588235294117646, 11: 0.09558823529411764, 12: 0.24816176470588236, 13: 0.19025735294117646, 14: 0.10477941176470588, 15: 0.20036764705882354, 16: 0.1792279411764706, 17: 0.09558823529411764}",0.127808415,"{0: 0.051919932293947195, 1: 0.051919932293947195, 2: 0.051919932293947195, 3: 0.05295369360390116, 4: 0.05303102238091111, 5: 0.051919932293947195, 6: 0.0583987349601145, 7: 0.06276616211028466, 8: 0.05469631944619947, 9: 0.054177569910854574, 10: 0.06462544427165837, 11: 0.05621947850628353, 12: 0.05578773412265564, 13: 0.06419462603714252, 14: 0.05358906317813585, 15: 0.055157026521757815, 16: 0.05404812499389709, 17: 0.05267527078041498}",0.054112847,3,"[[13, 15, 16], [13, 15, 12]]"
3219,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  1.  1.  1. 11.  0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 2. 1. 4. 4. 1.],1.777777778,0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0.09416337707895306, 13: 0.25, 14: 0, 15: 0.033070855249337484, 16: 0.2658792324146791, 17: 0}",0.035728526,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.003676470588235294, 10: 0.003676470588235294, 11: 0.003676470588235294, 12: 0.011029411764705883, 13: 0.007352941176470588, 14: 0.014705882352941176, 15: 0.011029411764705883, 16: 0.022058823529411766, 17: 0.011029411764705883}",0.006740196,"{0: 0.051069302693117324, 1: 0.051069302693117324, 2: 0.051069302693117324, 3: 0.051069302693117324, 4: 0.051069302693117324, 5: 0.051069302693117324, 6: 0.051069302693117324, 7: 0.051069302693117324, 8: 0.051069302693117324, 9: 0.051069302693117324, 10: 0.051069302693117324, 11: 0.051069302693117324, 12: 0.0885194813981885, 13: 0.06979445945684742, 14: 0.05234604244016966, 15: 0.05617626168132664, 16: 0.05617626168132664, 17: 0.06415586102473315}",0.051069303,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]"
3164,[ 0.  0.  0.  0.  0.  0.  0.  2.  4.  0.  1.  5.  1.  7.  3.  2. 20.  4.],[0. 1. 0. 0. 0. 0. 0. 3. 4. 2. 2. 6. 3. 8. 4. 5. 6. 5.],5.444444444,1,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0905533624970798, 8: 0.08172915473076135, 9: 0.0, 10: 0.16666666666666666, 11: 0.04867890642169221, 12: 0.07187225144356109, 13: 0.04400097429078593, 14: 0.12648948821886036, 15: 0.022620146804957553, 16: 0.1244199109614208, 17: 0.022620146804957553}",0.044425056,"{0: 0.003676470588235294, 1: 0.029411764705882353, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.022058823529411766, 8: 0.051470588235294115, 9: 0.022058823529411766, 10: 0.022058823529411766, 11: 0.0661764705882353, 12: 0.007352941176470588, 13: 0.10845588235294118, 14: 0.0661764705882353, 15: 0.03676470588235294, 16: 0.04411764705882353, 17: 0.04779411764705882}",0.030330882,"{0: 0.05190014649851587, 1: 0.05354860275216332, 2: 0.05190014649851587, 3: 0.05190014649851587, 4: 0.05190014649851587, 5: 0.05190014649851587, 6: 0.05190014649851587, 7: 0.05970995322125401, 8: 0.058229907621501195, 9: 0.05399694745533677, 10: 0.05970995322125401, 11: 0.06112749609351187, 12: 0.05921375842413354, 13: 0.06480833397046107, 14: 0.057686727602160884, 15: 0.05342108435838474, 16: 0.05372527193035852, 17: 0.05342108435838474}",0.053636937,2,"[[13, 14]]"
3165,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 6. 2. 3. 8. 3.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 2. 0. 3. 7. 3. 4. 1. 3.],2.666666667,0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0, 11: 0, 12: 0.08012497612818935, 13: 0.10485117342489715, 14: 0.2777777777777778, 15: 0.1878389765529055, 16: 0, 17: 0.23666228054971516}",0.049291955,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.029411764705882353, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.003676470588235294, 10: 0.051470588235294115, 11: 0.003676470588235294, 12: 0.06985294117647059, 13: 0.08823529411764706, 14: 0.04411764705882353, 15: 0.06433823529411764, 16: 0.029411764705882353, 17: 0.07352941176470588}",0.027062908,"{0: 0.04955605634767434, 1: 0.04955605634767434, 2: 0.04955605634767434, 3: 0.04955605634767434, 4: 0.04955605634767434, 5: 0.06373942215429092, 6: 0.04955605634767434, 7: 0.04955605634767434, 8: 0.04955605634767434, 9: 0.04955605634767434, 10: 0.057880835956006474, 11: 0.04955605634767434, 12: 0.061401857072426444, 13: 0.07897651837650664, 14: 0.06596257020373444, 15: 0.06292706195995314, 16: 0.05112195620448363, 17: 0.06242921459585491}",0.049556056,2,"[[14, 17]]"
3163,[ 0.  1.  0.  1.  2.  1.  3.  1.  0.  2.  3.  1.  5.  6.  2.  2. 22.  2.],[0. 1. 0. 1. 5. 1. 3. 2. 0. 3. 6. 2. 6. 8. 4. 3. 3. 6.],6,2,3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0, 5: 0, 6: 0.0, 7: 0.10499342082457276, 8: 0, 9: 0.0, 10: 0.04610891805263537, 11: 0.10499342082457276, 12: 0.07712200295962171, 13: 0.04755770135835265, 14: 0.017498903470762127, 15: 0.05778010619588622, 16: 0.5795518228618932, 17: 0.010095114404622999}",0.058094523,"{0: 0.003676470588235294, 1: 0.08823529411764706, 2: 0.003676470588235294, 3: 0.058823529411764705, 4: 0.13602941176470587, 5: 0.09558823529411764, 6: 0.10661764705882353, 7: 0.07352941176470588, 8: 0.003676470588235294, 9: 0.0661764705882353, 10: 0.05514705882352941, 11: 0.03860294117647059, 12: 0.08823529411764706, 13: 0.11764705882352941, 14: 0.10477941176470588, 15: 0.051470588235294115, 16: 0.05514705882352941, 17: 0.04411764705882353}",0.066176471,"{0: 0.04939748868348999, 1: 0.05629473328674859, 2: 0.04939748868348999, 3: 0.05392995888211657, 4: 0.06966099625634264, 5: 0.0530027992928772, 6: 0.06214071573480187, 7: 0.055710253964115226, 8: 0.04939748868348999, 9: 0.05559584110654393, 10: 0.07125857300480809, 11: 0.05581858425027502, 12: 0.056218047099380275, 13: 0.05500400561434318, 14: 0.055410999933688816, 15: 0.050289878551744625, 16: 0.050289878551744625, 17: 0.05118226841999926}",0.055207503,2,"[[4, 6], [10, 11], [12, 13]]"
