team_id,in_degree,out_degree,total_degree,avg_total_degree,med_in_degree,med_out_degree,max_total_degree,max_in_degree,max_out_degree,max_total_degree_pos,max_in_degree_pos,max_out_degree_pos,clustering_coef,avg_clustering_coef,max_clustering_coef,max_clustering_coef_pos,betweenness,avg_betweenness,max_betweenness,max_betweenness_pos,pagerank,avg_pagerank,max_pagerank,max_pagerank_pos,max_clique,max_cliques
3799,[1. 1. 0. 1. 3. 5. 2. 5. 4. 9. 0.],[1. 1. 1. 0. 3. 2. 6. 8. 3. 6. 0.],"[2.0, 2.0, 1.0, 1.0, 6.0, 7.0, 8.0, 13.0, 7.0, 15.0, 0.0]",3.444444444,2,2,15,9,8,9,9,7,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.22999342082457278, 5: 0.43998026247371835, 6: 0.04256035959798288, 7: 0.037655014079603887, 8: 0.10499342082457276, 9: 0.08078870169771787, 10: 0}",0.085088289,0.439980262,5,"{0: 0.08823529411764706, 1: 0.08823529411764706, 2: 0.03676470588235294, 3: 0.03676470588235294, 4: 0.0625, 5: 0.06433823529411764, 6: 0.09191176470588236, 7: 0.12316176470588236, 8: 0.09191176470588236, 9: 0.20404411764705882, 10: 0.003676470588235294}",0.049530229,0.204044118,9,"{0: 0.07523268861388767, 1: 0.09037049943541373, 2: 0.07684717593029194, 3: 0.07170864960027416, 4: 0.08521608279514771, 5: 0.0827264699900541, 6: 0.1169635693386063, 7: 0.1185075553889077, 8: 0.08286082774899906, 9: 0.1278578315581435, 10: 0.07170864960027416}",0.082860828,0.127857832,9,3,"[[7, 9, 6]]"
3772,[ 1.  2.  3.  2. 10.  4.  5.  8. 11.  7.  0.],[3. 5. 6. 1. 6. 2. 5. 9. 9. 7. 0.],"[4.0, 7.0, 9.0, 3.0, 16.0, 6.0, 10.0, 17.0, 20.0, 14.0, 0.0]",5.888888889,4,5,20,11,9,8,8,7,"{0: 0.041666666666666664, 1: 0.02824901312368592, 2: 0.07028935961526059, 3: 0, 4: 0.05329981302537889, 5: 0.6059152627328841, 6: 0.06708087659792096, 7: 0.05667267171970083, 8: 0.04276175554838556, 9: 0.06365859645075087, 10: 0}",0.093599456,0.605915263,5,"{0: 0.07107843137254902, 1: 0.07475490196078431, 2: 0.06985294117647059, 3: 0.06985294117647059, 4: 0.13602941176470587, 5: 0.06985294117647059, 6: 0.11397058823529412, 7: 0.10661764705882353, 8: 0.16666666666666666, 9: 0.10232843137254903, 10: 0.003676470588235294}",0.054704521,0.166666667,8,"{0: 0.08541296652304843, 1: 0.08936033128149035, 2: 0.086953850517584, 3: 0.07844875608497891, 4: 0.09610046419478716, 5: 0.08074038168554817, 6: 0.1054267788773505, 7: 0.10039815357090914, 8: 0.10279537869671457, 9: 0.09752549927104709, 10: 0.0768374392965417}",0.089360331,0.105426779,6,3,"[[8, 9, 7]]"
3776,[ 5.  4.  2.  4.  2.  4.  6. 11. 19. 10.  1.],[ 5.  4.  5.  4.  4.  5.  9. 10. 10. 10.  2.],"[10.0, 8.0, 7.0, 8.0, 6.0, 9.0, 15.0, 21.0, 29.0, 20.0, 3.0]",7.555555556,4,5,29,19,10,8,8,7,"{0: 0.053664701278336766, 1: 0.03333333333333333, 2: 0.01, 3: 0.10503031114271844, 4: 0.050494177037926795, 5: 0.08694644203726146, 6: 0.042161278059863014, 7: 0.047383619336341325, 8: 0.04470049273175272, 9: 0.0437958137400891, 10: 0.2}",0.065228197,0.2,10,"{0: 0.0900735294117647, 1: 0.09926470588235294, 2: 0.07720588235294118, 3: 0.0900735294117647, 4: 0.08026960784313725, 5: 0.09313725490196079, 6: 0.1256127450980392, 7: 0.10232843137254902, 8: 0.18504901960784315, 9: 0.16605392156862744, 10: 0.07720588235294118}",0.065904139,0.18504902,8,"{0: 0.08679686715506453, 1: 0.0910949118452111, 2: 0.08758545871024626, 3: 0.08127552261491129, 4: 0.08700785305792517, 5: 0.08679784695318199, 6: 0.09550154790609774, 7: 0.0921069902745604, 8: 0.0963649623266648, 9: 0.1108932879111453, 10: 0.08457475124499142}",0.087585459,0.110893288,9,3,"[[6, 8, 7], [9, 8, 5], [9, 8, 7]]"
3766,[ 2.  1.  3.  5. 12.  5.  9. 10. 15. 14.  0.],[ 4.  1.  5.  7. 10.  9. 10.  6.  7. 17.  0.],"[6.0, 2.0, 8.0, 12.0, 22.0, 14.0, 19.0, 16.0, 22.0, 31.0, 0.0]",8.444444444,5,7,31,15,17,9,8,9,"{0: 0.08505262131559155, 1: 0, 2: 0.08956761105403396, 3: 0.05587233144967358, 4: 0.046275903951303626, 5: 0.034199624026419365, 6: 0.052587220227985364, 7: 0.08879566675503704, 8: 0.11768226827446206, 9: 0.023313831324721628, 10: 0}",0.053940643,0.117682268,8,"{0: 0.06985294117647059, 1: 0.06985294117647059, 2: 0.06985294117647059, 3: 0.09926470588235294, 4: 0.09987745098039215, 5: 0.09436274509803921, 6: 0.09865196078431374, 7: 0.10232843137254903, 8: 0.09558823529411764, 9: 0.15686274509803924, 10: 0.003676470588235294}",0.053342865,0.156862745,9,"{0: 0.08692416207117724, 1: 0.08499491357398813, 2: 0.08675657873292823, 3: 0.08975600117005139, 4: 0.09441153009481754, 5: 0.09212445335889771, 6: 0.09754910893057805, 7: 0.09627221660902546, 8: 0.09060752848247118, 9: 0.09723246487257914, 10: 0.08337104210348585}",0.090607528,0.097549109,6,4,"[[4, 6, 8, 9]]"
3771,[ 5.  4.  7.  6. 11.  5.  9.  8. 16. 15.  0.],[ 5.  8.  9.  5. 13.  7.  8. 11. 16.  4.  0.],"[10.0, 12.0, 16.0, 11.0, 24.0, 12.0, 17.0, 19.0, 32.0, 19.0, 0.0]",9.555555556,7,8,32,16,16,8,8,8,"{0: 0.11140767494623147, 1: 0.04316641306137665, 2: 0.055129421809151306, 3: 0.09097094780545296, 4: 0.020758995863501203, 5: 0.04819933840285037, 6: 0.07762733975061449, 7: 0.03241439150108405, 8: 0.027475088742855886, 9: 0.2578200573500016, 10: 0}",0.069542697,0.257820057,9,"{0: 0.0738357843137255, 1: 0.0738357843137255, 2: 0.06985294117647059, 3: 0.07291666666666666, 4: 0.12806372549019607, 5: 0.07291666666666666, 6: 0.09436274509803921, 7: 0.10386029411764706, 8: 0.1488970588235294, 9: 0.07659313725490195, 10: 0.003676470588235294}",0.051045071,0.148897059,8,"{0: 0.08672444616101901, 1: 0.09057108148160026, 2: 0.09432751764998532, 3: 0.0875052768234689, 4: 0.09897698117996759, 5: 0.09019980186253027, 6: 0.09131287009213958, 7: 0.09290810937916044, 8: 0.10002592622202716, 9: 0.08652310495430744, 10: 0.08092488419379407}",0.090571081,0.100025926,8,3,"[[4, 8, 6], [4, 8, 7]]"
3777,[1. 2. 0. 1. 5. 4. 5. 3. 7. 9. 0.],[3. 3. 0. 1. 5. 5. 9. 5. 2. 4. 0.],"[4.0, 5.0, 0.0, 2.0, 10.0, 9.0, 14.0, 8.0, 9.0, 13.0, 0.0]",4.111111111,3,3,14,9,9,6,9,6,"{0: 0.0, 1: 0.15818456121461513, 2: 0, 3: 0, 4: 0.11928542442964862, 5: 0.08078870169771787, 6: 0.04763352028249712, 7: 0.09936819450161924, 8: 0.9936819450161924, 9: 0.1672812279388742, 10: 0}",0.15147487,0.993681945,8,"{0: 0.0625, 1: 0.0625, 2: 0.003676470588235294, 3: 0.0625, 4: 0.08504901960784314, 5: 0.08357843137254903, 6: 0.13602941176470587, 7: 0.09424019607843137, 8: 0.0974264705882353, 9: 0.15245098039215688, 10: 0.003676470588235294}",0.046868192,0.15245098,9,"{0: 0.09124262399911692, 1: 0.08354763905037163, 2: 0.0732059860596291, 3: 0.07598124874104503, 4: 0.09594046112027747, 5: 0.09652359075938245, 6: 0.12257061636177032, 7: 0.10722609391477747, 8: 0.08515436477316121, 9: 0.09540138916083947, 10: 0.0732059860596291}",0.091242624,0.122570616,6,2,"[[0, 7], [5, 9], [6, 9], [6, 4], [6, 7]]"
3785,[1. 1. 0. 2. 4. 2. 2. 3. 0. 8. 0.],[1. 2. 0. 1. 3. 3. 3. 3. 3. 4. 0.],"[2.0, 3.0, 0.0, 3.0, 7.0, 5.0, 5.0, 6.0, 3.0, 12.0, 0.0]",2.555555556,2,3,12,8,4,9,9,9,"{0: 0, 1: 0.0, 2: 0, 3: 0, 4: 0.3333333333333333, 5: 0.20998684164914552, 6: 0.08333333333333333, 7: 0.25, 8: 0.0, 9: 0.16666666666666666, 10: 0}",0.094847289,0.333333333,4,"{0: 0.058823529411764705, 1: 0.058823529411764705, 2: 0.003676470588235294, 3: 0.0661764705882353, 4: 0.11948529411764706, 5: 0.08455882352941177, 6: 0.08455882352941177, 7: 0.07720588235294118, 8: 0.03308823529411765, 9: 0.15625, 10: 0.003676470588235294}",0.041462418,0.15625,9,"{0: 0.07644015253927107, 1: 0.0787778527901829, 2: 0.06816751708914523, 3: 0.07347268493966407, 4: 0.10118688504972634, 5: 0.10377571058974533, 6: 0.10294062147856398, 7: 0.09857725095663972, 8: 0.0987137189826851, 9: 0.12978008849523098, 10: 0.06816751708914523}",0.098577251,0.129780088,9,3,"[[7, 9, 4]]"
3780,[2. 3. 0. 3. 5. 4. 4. 4. 4. 5. 0.],[2. 4. 1. 2. 4. 6. 3. 3. 2. 7. 0.],"[4.0, 7.0, 1.0, 5.0, 9.0, 10.0, 7.0, 7.0, 6.0, 12.0, 0.0]",3.777777778,4,3,12,5,7,9,4,9,"{0: 0.25, 1: 0.14666008749123943, 2: 0, 3: 0.75, 4: 0.22999342082457278, 5: 0.09199736832982912, 6: 0.10499342082457276, 7: 0.16666666666666666, 8: 0.5, 9: 0.056901942258150234, 10: 0}",0.208837537,0.75,3,"{0: 0.07071078431372549, 1: 0.06985294117647059, 2: 0.03676470588235294, 3: 0.08088235294117647, 4: 0.11348039215686274, 5: 0.10845588235294118, 6: 0.09191176470588236, 7: 0.10992647058823529, 8: 0.07438725490196078, 9: 0.1480392156862745, 10: 0.003676470588235294}",0.050449346,0.148039216,9,"{0: 0.08389505757308476, 1: 0.09525344938303207, 2: 0.07971893295107982, 3: 0.08491610206050244, 4: 0.0993389704169885, 5: 0.11131650047928349, 6: 0.08811508231103599, 7: 0.08971696966815063, 8: 0.0841675020260151, 9: 0.10845583193917963, 10: 0.07510560119164748}",0.088115082,0.1113165,5,2,"[[1, 4], [1, 5], [3, 5], [6, 9], [9, 4]]"
19830,[8. 4. 2. 1. 7. 9. 9. 7. 9. 8. 0.],[10.  9.  3.  1.  6.  6. 10.  7.  6.  5.  1.],"[18.0, 13.0, 5.0, 2.0, 13.0, 15.0, 19.0, 14.0, 15.0, 13.0, 1.0]",7.111111111,7,6,19,9,10,6,5,0,"{0: 0.07144602286197133, 1: 0.07297817107297269, 2: 0.1111111111111111, 3: 0, 4: 0.09168514824741818, 5: 0.20719760102641024, 6: 0.09374898810026716, 7: 0.12280401253888978, 8: 0.23114769714223546, 9: 0.2166900897886183, 10: 0}",0.110800804,0.231147697,8,"{0: 0.12561274509803924, 1: 0.08088235294117647, 2: 0.07352941176470588, 3: 0.07352941176470588, 4: 0.1213235294117647, 5: 0.09375, 6: 0.1636029411764706, 7: 0.125, 8: 0.09987745098039215, 9: 0.0900735294117647, 10: 0.04044117647058824}",0.060423475,0.163602941,6,"{0: 0.09896435469132553, 1: 0.09362135426469362, 2: 0.08376094164302557, 3: 0.08003911895735008, 4: 0.09301894553928346, 5: 0.09073063959267971, 6: 0.10960932781870608, 7: 0.09458127753446788, 8: 0.08823872334844528, 9: 0.08760274677288479, 10: 0.07983256983713799}",0.09073064,0.109609328,6,3,"[[0, 4, 9], [5, 6, 8], [5, 6, 1]]"
3787,[ 6.  2.  2.  3.  4.  8.  6.  7. 10.  8.  1.],[7. 3. 4. 5. 4. 7. 6. 8. 7. 5. 1.],"[13.0, 5.0, 6.0, 8.0, 8.0, 15.0, 12.0, 15.0, 17.0, 13.0, 2.0]",6.333333333,6,5,17,10,8,8,8,7,"{0: 0.02867333686209607, 1: 0.10176039876280868, 2: 0.10416666666666666, 3: 0.10974703937105774, 4: 0.19374177603071596, 5: 0.06675289466378508, 6: 0.12189237709623076, 7: 0.08707168739145701, 8: 0.10715122254355414, 9: 0.19305031799980069, 10: 0}",0.101273429,0.193741776,4,"{0: 0.11948529411764706, 1: 0.11029411764705882, 2: 0.07720588235294118, 3: 0.08455882352941177, 4: 0.07904411764705882, 5: 0.13725490196078433, 6: 0.12071078431372548, 7: 0.12806372549019607, 8: 0.14522058823529413, 9: 0.09068627450980392, 10: 0.0784313725490196}",0.065053105,0.145220588,8,"{0: 0.09989237786772885, 1: 0.09291783157192723, 2: 0.08451903490519462, 3: 0.0912957002751115, 4: 0.083751880132344, 5: 0.09803881137581115, 6: 0.09166715356077747, 7: 0.09615391963970966, 8: 0.09625657447291354, 9: 0.08762355109412204, 10: 0.07788316510436005}",0.091667154,0.099892378,0,3,"[[7, 8, 9], [7, 6, 9], [7, 6, 3]]"
