team_id,in_degree,out_degree,total_degree,avg_total_degree,med_in_degree,med_out_degree,max_total_degree,max_in_degree,max_out_degree,max_total_degree_pos,max_in_degree_pos,max_out_degree_pos,clustering_coef,avg_clustering_coef,max_clustering_coef,max_clustering_coef_pos,betweenness,avg_betweenness,max_betweenness,max_betweenness_pos,pagerank,avg_pagerank,max_pagerank,max_pagerank_pos,max_clique,max_cliques
1609,[ 5.  8. 12.  9. 20. 18. 17. 18. 19. 20.  1.],[ 9. 11. 11. 11. 18. 19. 17. 21. 18. 11.  1.],"[14.0, 19.0, 23.0, 20.0, 38.0, 37.0, 34.0, 39.0, 37.0, 31.0, 2.0]",16.33333333,17,11,39,20,21,7,4,7,"{0: 0.046177141227057114, 1: 0.06123994141358601, 2: 0.05829235184805565, 3: 0.05058146255720547, 4: 0.043480664433828274, 5: 0.03635411969342918, 6: 0.04259228506699339, 7: 0.03621249495450137, 8: 0.046018923397830466, 9: 0.07120388790685457, 10: 0}",0.044741207,0.071203888,9,"{0: 0.08272058823529412, 1: 0.08088235294117647, 2: 0.11948529411764706, 3: 0.07720588235294118, 4: 0.10845588235294118, 5: 0.14705882352941177, 6: 0.13051470588235295, 7: 0.10477941176470588, 8: 0.09558823529411764, 9: 0.12867647058823528, 10: 0.07720588235294118}",0.064031863,0.147058824,5,"{0: 0.08848194672730048, 1: 0.08903045993900283, 2: 0.0908791822859426, 3: 0.08867977139917833, 4: 0.09355263169687303, 5: 0.09183263634125134, 6: 0.09222644046823558, 7: 0.09500330529318751, 8: 0.09095698118066455, 9: 0.09395189031051286, 10: 0.08540475435785093}",0.090956981,0.095003305,7,4,"[[9, 8, 4, 5], [9, 8, 4, 6], [7, 2, 5, 8], [7, 2, 5, 1], [7, 4, 5, 8], [7, 4, 5, 1], [7, 4, 6, 8], [7, 4, 6, 1], [7, 4, 6, 3]]"
1631,[ 2.  1.  0.  3.  2.  5.  2.  7.  8. 12.  0.],[ 3.  2.  2.  4.  3.  7.  2. 10.  6.  3.  0.],"[5.0, 3.0, 2.0, 7.0, 5.0, 12.0, 4.0, 17.0, 14.0, 15.0, 0.0]",4.666666667,2,3,17,12,10,7,9,7,"{0: 0.17749671041228637, 1: 0.0, 2: 0.0, 3: 0.12723423232829054, 4: 0.2095687759281503, 5: 0.06208340463753158, 6: 0.25, 7: 0.03443519899129058, 8: 0.09741151785204046, 9: 0.2095687759281503, 10: 0}",0.106163511,0.25,6,"{0: 0.0661764705882353, 1: 0.0661764705882353, 2: 0.03676470588235294, 3: 0.07536764705882353, 4: 0.0661764705882353, 5: 0.08088235294117647, 6: 0.06801470588235294, 7: 0.16911764705882354, 8: 0.10294117647058823, 9: 0.11029411764705882, 10: 0.003676470588235294}",0.046977124,0.169117647,7,"{0: 0.08386768667641775, 1: 0.08576500583542312, 2: 0.08029541467279014, 3: 0.08388861591850605, 4: 0.08245793145565418, 5: 0.10053150144486639, 6: 0.07805569257466372, 7: 0.1438825858895837, 8: 0.09886555158486007, 9: 0.09384810855915057, 10: 0.06854190538808438}",0.083888616,0.143882586,7,3,"[[7, 0, 5], [7, 3, 9]]"
1625,[10.  9.  8. 16. 22. 16. 15. 28. 31. 28.  0.],[12. 10. 10. 19. 25. 22. 19. 26. 20. 20.  0.],"[22.0, 19.0, 18.0, 35.0, 47.0, 38.0, 34.0, 54.0, 51.0, 48.0, 0.0]",20.33333333,16,19,54,31,26,7,8,7,"{0: 0.06570663181334406, 1: 0.07427364663901224, 2: 0.07796076446790774, 3: 0.04552024822823607, 4: 0.02943455558911466, 5: 0.03402389040635995, 6: 0.04188985085976972, 7: 0.030402805192623762, 8: 0.04732696680587426, 9: 0.047722374196729714, 10: 0}",0.044932885,0.077960764,2,"{0: 0.07720588235294118, 1: 0.07352941176470588, 2: 0.07751225490196079, 3: 0.09068627450980393, 4: 0.09712009803921569, 5: 0.07352941176470588, 6: 0.07720588235294118, 7: 0.12867647058823528, 8: 0.1292892156862745, 9: 0.07720588235294118, 10: 0.003676470588235294}",0.050313181,0.129289216,8,"{0: 0.09066813074723792, 1: 0.08904260823625056, 2: 0.08948757627765548, 3: 0.09140922631869303, 4: 0.09301395212924073, 5: 0.09232033062708087, 6: 0.090659219129521, 7: 0.09303016012249708, 8: 0.0927680130835926, 9: 0.09126408167862854, 10: 0.08633670164960232}",0.091264082,0.09303016,7,7,"[[3, 9, 5, 7, 8, 4, 6]]"
1646,[ 2.  0.  0.  4.  5.  4.  1.  6.  2. 11.  1.],[4. 0. 2. 4. 5. 4. 3. 6. 3. 4. 1.],"[6.0, 0.0, 2.0, 8.0, 10.0, 8.0, 4.0, 12.0, 5.0, 15.0, 2.0]",4,2,4,15,11,6,9,9,7,"{0: 0.0, 1: 0, 2: 0.0, 3: 0.09717588947281693, 4: 0.06468502629920499, 5: 0.06410503422347943, 6: 0.0, 7: 0.020998684164914554, 8: 0.13583004374561972, 9: 0.033070855249337484, 10: 0}",0.037805958,0.135830044,8,"{0: 0.11580882352941177, 1: 0.003676470588235294, 2: 0.03676470588235294, 3: 0.08088235294117647, 4: 0.10661764705882353, 5: 0.07352941176470588, 6: 0.0661764705882353, 7: 0.14522058823529413, 8: 0.0625, 9: 0.11948529411764706, 10: 0.04411764705882353}",0.047487745,0.145220588,7,"{0: 0.10496530470285777, 1: 0.07679936298797581, 2: 0.09718709800860123, 3: 0.08737213012248508, 4: 0.092798362298674, 5: 0.08550680030491736, 6: 0.08981408955186537, 7: 0.10399224209542818, 8: 0.08507775542110546, 9: 0.08982604297400677, 10: 0.08666081153208306}",0.08981409,0.104965305,0,2,"[[3, 5], [7, 8]]"
1610,[ 4.  4.  4.  2.  8.  5.  6.  3.  5. 12.  0.],[3. 6. 4. 2. 9. 3. 8. 4. 8. 5. 1.],"[7.0, 10.0, 8.0, 4.0, 17.0, 8.0, 14.0, 7.0, 13.0, 17.0, 1.0]",5.888888889,4,4,17,12,9,4,9,4,"{0: 0.2222222222222222, 1: 0.11901425364879215, 2: 0.18596233899239292, 3: 0.37665350831581224, 4: 0.07461020589440569, 5: 0.15012059001123784, 6: 0.09469307400846959, 7: 0.027777777777777776, 8: 0.0625233023132295, 9: 0.13512071919596574, 10: 0}",0.131699817,0.376653508,3,"{0: 0.07536764705882353, 1: 0.08455882352941177, 2: 0.10661764705882353, 3: 0.07352941176470588, 4: 0.13602941176470587, 5: 0.10753676470588236, 6: 0.08915441176470588, 7: 0.11488970588235294, 8: 0.10477941176470588, 9: 0.16636029411764705, 10: 0.04044117647058824}",0.061070261,0.166360294,9,"{0: 0.08802673252885637, 1: 0.0896249734367896, 2: 0.08633293521423209, 3: 0.08150147293511349, 4: 0.10497180747692306, 5: 0.08796320879224781, 6: 0.09749259116738841, 7: 0.08927839632910886, 8: 0.09656894577198281, 9: 0.09585962580846381, 10: 0.08237931053889382}",0.089278396,0.104971807,4,3,"[[4, 8, 6], [4, 1, 0], [4, 1, 6]]"
1673,[1. 1. 1. 4. 4. 5. 1. 3. 7. 3. 0.],[1. 1. 3. 6. 4. 4. 3. 1. 2. 5. 0.],"[2.0, 2.0, 4.0, 10.0, 8.0, 9.0, 4.0, 4.0, 9.0, 8.0, 0.0]",3.333333333,3,3,10,7,6,3,8,3,"{0: 0, 1: 0, 2: 0.06999561388304851, 3: 0.017637789466313326, 4: 0.0, 5: 0.09777339166082628, 6: 0.05555555555555555, 7: 0, 8: 0.37665350831581224, 9: 0.07533070166316244, 10: 0}",0.062995142,0.376653508,8,"{0: 0.07322303921568626, 1: 0.07352941176470588, 2: 0.10202205882352941, 3: 0.13388480392156865, 4: 0.13970588235294118, 5: 0.125, 6: 0.08425245098039215, 7: 0.07781862745098038, 8: 0.14705882352941177, 9: 0.1479779411764706, 10: 0.003676470588235294}",0.061563862,0.147977941,9,"{0: 0.071305696548809, 1: 0.073469543977683, 2: 0.09841112535692395, 3: 0.11290497615835511, 4: 0.084717931531331, 5: 0.11606123237493879, 6: 0.08926523135723305, 7: 0.071305696548809, 8: 0.08547056490018773, 9: 0.1322861020519429, 10: 0.06480189919378651}",0.085470565,0.132286102,9,3,"[[5, 8, 9]]"
1623,[ 1.  2.  0.  1.  1.  4.  2.  2.  7. 10.  0.],[2. 3. 1. 1. 3. 4. 1. 3. 6. 6. 0.],"[3.0, 5.0, 1.0, 2.0, 4.0, 8.0, 3.0, 5.0, 13.0, 16.0, 0.0]",3.333333333,2,3,16,10,6,9,9,8,"{0: 0.0, 1: 0.0, 2: 0, 3: 0, 4: 0.09416337707895306, 5: 0.030046866048071004, 6: 0, 7: 0.0, 8: 0.02645668419946999, 9: 0.03766535083158122, 10: 0}",0.017121116,0.094163377,4,"{0: 0.0661764705882353, 1: 0.0661764705882353, 2: 0.03676470588235294, 3: 0.09191176470588236, 4: 0.0661764705882353, 5: 0.09558823529411764, 6: 0.0661764705882353, 7: 0.1213235294117647, 8: 0.1323529411764706, 9: 0.21691176470588236, 10: 0.003676470588235294}",0.053513072,0.216911765,9,"{0: 0.08007952730290593, 1: 0.08495307830924172, 2: 0.08055945367222415, 3: 0.08055945367222415, 4: 0.08457757196862299, 5: 0.10520021215346267, 6: 0.07163499100148298, 7: 0.08749763342964151, 8: 0.1111935406957042, 9: 0.14660759145872387, 10: 0.06713694633576592}",0.084577572,0.146607591,9,2,"[[0, 5], [1, 8], [9, 8], [9, 4], [9, 5], [9, 6]]"
1611,[ 2.  1.  4.  5. 10. 19. 11.  7. 12. 10.  0.],[ 3.  0.  3.  8.  7. 15. 12.  8. 15.  9.  1.],"[5.0, 1.0, 7.0, 13.0, 17.0, 34.0, 23.0, 15.0, 27.0, 19.0, 1.0]",9,7,8,34,19,15,5,5,5,"{0: 0.12555116943860406, 1: 0, 2: 0.13228342099734994, 3: 0.021060984392772878, 4: 0.09644221496167744, 5: 0.036085647451618456, 6: 0.04210343249228623, 7: 0.0735081618744899, 8: 0.02906159492483413, 9: 0.06668422137235548, 10: 0}",0.056616441,0.132283421,2,"{0: 0.06985294117647059, 1: 0.04044117647058824, 2: 0.06985294117647059, 3: 0.11029411764705882, 4: 0.07659313725490197, 5: 0.19117647058823528, 6: 0.1299019607843137, 7: 0.07352941176470588, 8: 0.1329656862745098, 9: 0.07720588235294118, 10: 0.04044117647058824}",0.056236383,0.191176471,5,"{0: 0.08784299862543023, 1: 0.08349767931489313, 2: 0.0859095185657362, 3: 0.08971718102724549, 4: 0.08886921842608173, 5: 0.10272498067837674, 6: 0.10278116661035674, 7: 0.08940993036338044, 8: 0.09400019565117038, 9: 0.09015055541089499, 10: 0.08509657532643397}",0.08940993,0.102781167,6,4,"[[5, 6, 8, 9], [5, 6, 8, 4], [5, 7, 8, 9]]"
1624,[ 3.  0.  3.  7.  6.  5. 10.  7. 12. 18.  0.],[ 7.  2.  4.  8.  6.  8.  8. 11.  8.  9.  0.],"[10.0, 2.0, 7.0, 15.0, 12.0, 13.0, 18.0, 18.0, 20.0, 27.0, 0.0]",7.888888889,6,8,27,18,11,9,9,7,"{0: 0.052075974436245044, 1: 0.0, 2: 0.17581269051523754, 3: 0.055368542849619895, 4: 0.09624319963817488, 5: 0.031021786149897406, 6: 0.07471723791742621, 7: 0.03613520183736174, 8: 0.06688266291157892, 9: 0.05315113406346814, 10: 0}",0.058309857,0.175812691,2,"{0: 0.0661764705882353, 1: 0.03676470588235294, 2: 0.0661764705882353, 3: 0.06924019607843138, 4: 0.0661764705882353, 5: 0.08639705882352941, 6: 0.08210784313725492, 7: 0.10661764705882353, 8: 0.10600490196078433, 9: 0.14522058823529413, 10: 0.003676470588235294}",0.046364379,0.145220588,9,"{0: 0.09088427516102073, 1: 0.08483855082424847, 2: 0.08651696465098481, 3: 0.09140911487678689, 4: 0.0872703727192146, 5: 0.09235458889532859, 6: 0.0971473166073368, 7: 0.10107884628049339, 8: 0.09102767229966505, 9: 0.09728046134592892, 10: 0.08019183633899168}",0.091027672,0.101078846,7,3,"[[6, 4, 7]]"
1644,[2. 5. 1. 2. 7. 5. 4. 3. 2. 6. 0.],[2. 2. 2. 3. 7. 6. 3. 5. 2. 5. 0.],"[4.0, 7.0, 3.0, 5.0, 14.0, 11.0, 7.0, 8.0, 4.0, 11.0, 0.0]",4.111111111,3,3,14,7,7,4,4,4,"{0: 0.5, 1: 0.5649802624737184, 2: 0.0, 3: 0.10499342082457276, 4: 0.07761716785463983, 5: 0.14632938582807697, 6: 0.35499342082457275, 7: 0.11299605249474368, 8: 0.0, 9: 0.14618305254657682, 10: 0}",0.182553888,0.564980262,1,"{0: 0.06985294117647059, 1: 0.07720588235294118, 2: 0.06985294117647059, 3: 0.09926470588235294, 4: 0.16299019607843138, 5: 0.12377450980392159, 6: 0.08272058823529412, 7: 0.09375, 8: 0.07536764705882353, 9: 0.12254901960784315, 10: 0.003676470588235294}",0.054500272,0.162990196,4,"{0: 0.08029660886570386, 1: 0.07929918205387752, 2: 0.08060892251969995, 3: 0.09757731009449504, 4: 0.11653030737931683, 5: 0.11454426191277295, 6: 0.08295437281160968, 7: 0.09917753526033327, 8: 0.07922577642076595, 9: 0.09793231580698004, 10: 0.07185340687444496}",0.082954373,0.116530307,4,2,"[[4, 0], [4, 1], [4, 3], [4, 6], [4, 7], [5, 7], [9, 1], [9, 7]]"
