team_id,in_degree,out_degree,total_degree,avg_total_degree,med_in_degree,med_out_degree,max_total_degree,max_in_degree,max_out_degree,max_total_degree_pos,max_in_degree_pos,max_out_degree_pos,clustering_coef,avg_clustering_coef,max_clustering_coef,max_clustering_coef_pos,betweenness,avg_betweenness,max_betweenness,max_betweenness_pos,pagerank,avg_pagerank,max_pagerank,max_pagerank_pos,max_clique,max_cliques
2444,[12. 11. 12.  9. 10. 13. 15. 16. 23. 19.  0.],[15. 13. 17. 10. 14. 15. 15. 17. 17.  6.  1.],"[27.0, 24.0, 29.0, 19.0, 24.0, 28.0, 30.0, 33.0, 40.0, 25.0, 1.0]",15.55555556,12,15,40,23,17,8,8,2,"{0: 0.07538163379831525, 1: 0.10495816790588461, 2: 0.05720376981783324, 3: 0.14141107957305685, 4: 0.09810470455550549, 5: 0.09317847339688654, 6: 0.09686821525387143, 7: 0.07116879190874015, 8: 0.10136753688478202, 9: 0.5119918821390332, 10: 0}",0.122875841,0.511991882,9,"{0: 0.09558823529411764, 1: 0.07904411764705882, 2: 0.09926470588235294, 3: 0.07352941176470588, 4: 0.07352941176470588, 5: 0.0900735294117647, 6: 0.09497549019607843, 7: 0.1372549019607843, 8: 0.11948529411764706, 9: 0.07352941176470588, 10: 0.04044117647058824}",0.054261983,0.137254902,7,"{0: 0.09218896693692545, 1: 0.09094244825242964, 2: 0.09288048513855829, 3: 0.08875503153168714, 4: 0.09114256660464877, 5: 0.09278504120211807, 6: 0.09241368795118078, 7: 0.093516104948625, 8: 0.09342922995750326, 9: 0.08747432389165209, 10: 0.0844721135846715}",0.092188967,0.093516105,7,5,"[[8, 1, 4, 5, 6], [8, 3, 4, 5, 6]]"
2446,[ 3.  5.  2.  8. 11.  8.  8. 11. 13. 13.  0.],[ 4. 10.  6.  8. 12.  7. 10.  8. 11.  6.  0.],"[7.0, 15.0, 8.0, 16.0, 23.0, 15.0, 18.0, 19.0, 24.0, 19.0, 0.0]",9.111111111,8,8,24,13,12,8,8,4,"{0: 0.06410503422347943, 1: 0.0154133295784617, 2: 0.05553551908582864, 3: 0.09145048697169059, 4: 0.06275230590550111, 5: 0.05765535786887663, 6: 0.04739085175518976, 7: 0.12030676623604976, 8: 0.07232022012204237, 9: 0.15676059146738555, 10: 0}",0.067608224,0.156760591,9,"{0: 0.06985294117647059, 1: 0.09865196078431372, 2: 0.06985294117647059, 3: 0.0857843137254902, 4: 0.133578431372549, 5: 0.0900735294117647, 6: 0.10845588235294118, 7: 0.07904411764705882, 8: 0.13051470588235295, 9: 0.08639705882352941, 10: 0.003676470588235294}",0.053104575,0.133578431,4,"{0: 0.08765788226865553, 1: 0.09308268985026623, 2: 0.08648630037781482, 3: 0.0886966274438117, 4: 0.09970327912201465, 5: 0.09223281500310214, 6: 0.09832194507908454, 7: 0.08830566632638502, 8: 0.09980767612694766, 9: 0.08642019075862126, 10: 0.07928492764329641}",0.088696627,0.099807676,8,3,"[[8, 9, 7], [8, 4, 3], [8, 4, 7]]"
2482,[ 2.  2.  4.  4. 10.  3.  3.  5. 10. 11.  0.],[2. 4. 4. 6. 7. 5. 4. 7. 6. 9. 0.],"[4.0, 6.0, 8.0, 10.0, 17.0, 8.0, 7.0, 12.0, 16.0, 20.0, 0.0]",6,4,5,20,11,9,9,9,9,"{0: 0.0, 1: 0.02624835520614319, 2: 0.07874506561842956, 3: 0.06291243935054462, 4: 0.08399708520835808, 5: 0.10686177294137539, 6: 0.12041173228509623, 7: 0.031782464203520544, 8: 0.057703031204917384, 9: 0.05828677679409345, 10: 0}",0.056995338,0.120411732,6,"{0: 0.09191176470588236, 1: 0.07352941176470588, 2: 0.08394607843137254, 3: 0.0821078431372549, 4: 0.10477941176470588, 5: 0.06985294117647059, 6: 0.07352941176470588, 7: 0.08946078431372549, 8: 0.1488970588235294, 9: 0.17401960784313728, 10: 0.003676470588235294}",0.055317266,0.174019608,9,"{0: 0.08653307935238765, 1: 0.09095037015484897, 2: 0.08522599258107474, 3: 0.08990775416165289, 4: 0.09438499416970156, 5: 0.09021534119700822, 6: 0.0896950724652449, 7: 0.09117945894815371, 8: 0.10379059045003196, 9: 0.09974706234951954, 10: 0.07837028417037599}",0.090215341,0.10379059,8,3,"[[3, 9, 4]]"
2457,[1. 2. 2. 6. 6. 6. 5. 7. 7. 8. 0.],[ 1.  2.  2.  5.  8. 11.  7.  8.  5.  1.  0.],"[2.0, 4.0, 4.0, 11.0, 14.0, 17.0, 12.0, 15.0, 12.0, 9.0, 0.0]",5.555555556,6,5,17,8,11,5,9,5,"{0: 0, 1: 0.5433201749824789, 2: 0.3333333333333333, 3: 0.2202414383919315, 4: 0.08878634545811219, 5: 0.05959293235641375, 6: 0.10838679264939124, 7: 0.08843008277176373, 8: 0.23944054850836194, 9: 0, 10: 0}",0.152866513,0.543320175,1,"{0: 0.06985294117647059, 1: 0.06985294117647059, 2: 0.06985294117647059, 3: 0.10661764705882353, 4: 0.10600490196078431, 5: 0.133578431372549, 6: 0.08762254901960785, 7: 0.13296568627450983, 8: 0.11090686274509805, 9: 0.07291666666666667, 10: 0.003676470588235294}",0.053547113,0.133578431,5,"{0: 0.07855168139809261, 1: 0.08179444468263514, 2: 0.07992288467174888, 3: 0.09373767796696171, 4: 0.09808994006137986, 5: 0.1225200410724355, 6: 0.09411171017207157, 7: 0.10325309990724474, 8: 0.09389525150332773, 9: 0.07839403091851854, 10: 0.07572923764558383}",0.093737678,0.122520041,5,3,"[[7, 5, 8], [7, 5, 4]]"
2454,[ 1.  4.  5.  4.  5.  3.  5. 10.  6. 14.  0.],[ 1.  3.  5.  3.  6.  5.  6.  9.  9. 10.  0.],"[2.0, 7.0, 10.0, 7.0, 11.0, 8.0, 11.0, 19.0, 15.0, 24.0, 0.0]",6.333333333,5,5,24,14,10,9,9,9,"{0: 0, 1: 0.0, 2: 0.06574901312368592, 3: 0.18478013140963634, 4: 0.1261407814502796, 5: 0.11384053939697432, 6: 0.09415569900299575, 7: 0.07493308727796472, 8: 0.06504592579789926, 9: 0.06721618805888223, 10: 0}",0.071987397,0.184780131,3,"{0: 0.06985294117647059, 1: 0.10845588235294118, 2: 0.13112745098039216, 3: 0.07352941176470588, 4: 0.07904411764705882, 5: 0.08333333333333333, 6: 0.09191176470588236, 7: 0.10232843137254902, 8: 0.09191176470588236, 9: 0.14522058823529413, 10: 0.003676470588235294}",0.054466231,0.145220588,9,"{0: 0.08147343836043007, 1: 0.0974673846814698, 2: 0.09100498373135453, 3: 0.08237954822174283, 4: 0.09299980686082747, 5: 0.08885986505763323, 6: 0.09274724339950603, 7: 0.09751718382489867, 8: 0.09349585655079612, 9: 0.10320162245883148, 10: 0.07885306685250977}",0.092747243,0.103201622,9,3,"[[4, 8, 9], [7, 9, 8], [7, 9, 6]]"
2449,[1. 0. 0. 2. 3. 1. 1. 2. 3. 5. 0.],[0. 0. 0. 4. 2. 2. 1. 2. 2. 5. 0.],"[1.0, 0.0, 0.0, 6.0, 5.0, 3.0, 2.0, 4.0, 5.0, 10.0, 0.0]",2,1,2,10,5,5,9,9,9,"{0: 0, 1: 0, 2: 0, 3: 0.08333333333333333, 4: 0.25, 5: 0.25, 6: 0, 7: 0.25, 8: 0.3149802624737183, 9: 0.08149802624737185, 10: 0}",0.111801057,0.314980262,8,"{0: 0.029411764705882353, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.0625, 4: 0.09191176470588236, 5: 0.051470588235294115, 6: 0.051470588235294115, 7: 0.06066176470588235, 8: 0.05698529411764706, 9: 0.13970588235294118, 10: 0.003676470588235294}",0.030841503,0.139705882,9,"{0: 0.060971718002197334, 1: 0.060971718002197334, 2: 0.060971718002197334, 3: 0.11513859529858687, 4: 0.1049820254985179, 5: 0.09445724810346007, 6: 0.07507526957215924, 7: 0.09792643308028005, 8: 0.09792643308028005, 9: 0.17060712335792652, 10: 0.060971718002197334}",0.094457248,0.170607123,9,2,"[[3, 8], [6, 4], [9, 8], [9, 4], [9, 5], [9, 7]]"
2450,[0. 0. 3. 0. 3. 1. 4. 1. 3. 2. 0.],[0. 0. 3. 1. 1. 4. 3. 3. 0. 2. 0.],"[0.0, 0.0, 6.0, 1.0, 4.0, 5.0, 7.0, 4.0, 3.0, 4.0, 0.0]",1.888888889,1,1,7,4,4,6,6,5,"{0: 0, 1: 0, 2: 0.10499342082457276, 3: 0, 4: 0, 5: 0.05249671041228638, 6: 0.20998684164914552, 7: 0.0, 8: 0, 9: 0.3149802624737183, 10: 0}",0.062041567,0.314980262,9,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.04779411764705882, 3: 0.029411764705882353, 4: 0.03308823529411765, 5: 0.04044117647058824, 6: 0.0661764705882353, 7: 0.051470588235294115, 8: 0.029411764705882353, 9: 0.04779411764705882, 10: 0.003676470588235294}",0.019812092,0.066176471,6,"{0: 0.06980007057281482, 1: 0.06980007057281482, 2: 0.09514486382192258, 3: 0.10311896833268734, 4: 0.07765850314024485, 5: 0.11646092883062172, 6: 0.11124035162443774, 7: 0.0986481283428271, 8: 0.06980007057281482, 9: 0.11852797361599932, 10: 0.06980007057281482}",0.095144864,0.118527974,9,2,"[[9, 5], [9, 6]]"
2455,[ 1.  0.  1.  4.  4.  4.  2.  2. 10.  4.  0.],[2. 1. 2. 4. 2. 5. 4. 3. 5. 4. 0.],"[3.0, 1.0, 3.0, 8.0, 6.0, 9.0, 6.0, 5.0, 15.0, 8.0, 0.0]",3.555555556,2,3,15,10,5,8,8,5,"{0: 0.0, 1: 0, 2: 0.125, 3: 0.12582675415790612, 4: 0.5, 5: 0.08474703937105776, 6: 0.05249671041228638, 7: 0.041666666666666664, 8: 0.08149802624737185, 9: 0.07473752191600415, 10: 0}",0.098724793,0.5,4,"{0: 0.1213235294117647, 1: 0.03676470588235294, 2: 0.06801470588235294, 3: 0.15073529411764705, 4: 0.07720588235294118, 5: 0.09926470588235294, 6: 0.09558823529411764, 7: 0.0974264705882353, 8: 0.14705882352941177, 9: 0.08088235294117647, 10: 0.003676470588235294}",0.054330065,0.150735294,3,"{0: 0.10184629873842307, 1: 0.08046273144064589, 2: 0.08846216707793371, 3: 0.10482334154479145, 4: 0.08303852896913837, 5: 0.09546501502924883, 6: 0.09191788401478242, 7: 0.08714248431726562, 8: 0.10689911089975282, 9: 0.08419779621702425, 10: 0.07574464175099345}",0.088462167,0.106899111,8,2,"[[3, 5], [8, 9], [8, 4], [8, 5], [8, 6]]"
2447,[ 4.  7.  4.  4.  8.  7.  6. 10.  9. 12.  0.],[ 7.  8.  5.  5. 10.  9.  9.  8.  4.  6.  0.],"[11.0, 15.0, 9.0, 9.0, 18.0, 16.0, 15.0, 18.0, 13.0, 18.0, 0.0]",7.888888889,7,7,18,12,10,4,9,4,"{0: 0.09372550612666845, 1: 0.12964653363241901, 2: 0.09199736832982912, 3: 0.05674202741333899, 4: 0.04537653089728754, 5: 0.09033470234102066, 6: 0.0674001135456416, 7: 0.12541999883795488, 8: 0.43797549607752795, 9: 0.24923956170540246, 10: 0}",0.126168894,0.437975496,8,"{0: 0.07169117647058823, 1: 0.0857843137254902, 2: 0.06985294117647059, 3: 0.0900735294117647, 4: 0.12806372549019607, 5: 0.08946078431372549, 6: 0.08823529411764706, 7: 0.11151960784313725, 8: 0.06985294117647059, 9: 0.10110294117647059, 10: 0.003676470588235294}",0.050517429,0.128063725,4,"{0: 0.09315285409133667, 1: 0.09533615343352211, 2: 0.08803015966727247, 3: 0.08606221244736077, 4: 0.10750999303011835, 5: 0.09140076419628303, 6: 0.09182746181022972, 7: 0.09848287120603225, 8: 0.08314275683620301, 9: 0.08821837128483369, 10: 0.07683640199680808}",0.091400764,0.107509993,4,3,"[[7, 1, 0], [7, 1, 6], [7, 5, 9], [8, 9, 5]]"
2453,[2. 1. 3. 0. 3. 2. 2. 4. 3. 3. 0.],[1. 1. 2. 1. 4. 3. 2. 4. 2. 3. 0.],"[3.0, 2.0, 5.0, 1.0, 7.0, 5.0, 4.0, 8.0, 5.0, 6.0, 0.0]",2.555555556,2,2,8,4,4,7,7,4,"{0: 0, 1: 0, 2: 1.0, 3: 0, 4: 0.16666666666666666, 5: 0.16666666666666666, 6: 0.5, 7: 0.25, 8: 0.5, 9: 0.16666666666666666, 10: 0}",0.25,1,2,"{0: 0.0661764705882353, 1: 0.08088235294117647, 2: 0.07720588235294118, 3: 0.03676470588235294, 4: 0.12683823529411764, 5: 0.10294117647058823, 6: 0.08088235294117647, 7: 0.13419117647058823, 8: 0.11029411764705882, 9: 0.12867647058823528, 10: 0.003676470588235294}",0.052696078,0.134191176,7,"{0: 0.07329016778852039, 1: 0.08063751496267393, 2: 0.08631633719378554, 3: 0.0752882860985783, 4: 0.1091973190368709, 5: 0.09929458762677737, 6: 0.08778444008823946, 7: 0.1164666066339962, 8: 0.10475432853009072, 9: 0.10410022035452188, 10: 0.06287019168594535}",0.08778444,0.116466607,7,2,"[[4, 8], [4, 2], [6, 9], [7, 0], [7, 2], [7, 5]]"
