team_name,Barcelona,Manchester City,Bayern Munich,Juventus,PSG
0,2.065960473,1.985728398,2.856332124,1.394411387,2.928490437
1,1.541803398,1.79865522,2.561387319,1.844947158,2.216316722
2,1.326303287,1.777727798,3.029451205,1.925207427,2.813389546
3,2.498528169,2.728404149,2.163422994,2.086601631,1.818013172
4,2.040952036,3.397783382,2.546350197,2.444322462,3.50675472
5,1.838763368,2.810890686,2.921972162,3.398472224,3.767257268
6,2.469987133,2.599768498,3.081867273,3.294494324,3.88221131
7,2.274968458,3.9091699,3.498280708,2.186344835,3.953209612
8,4.303990084,3.746860567,3.924109644,2.838519558,3.149044404
9,3.013651165,3.333359041,2.8623742,2.103136701,3.266176608
10,1.08801783,0.29231221,0.463749698,0.253493846,0.718449859
